population,priceout
55209,6144
20319,6104
52323,8152
25114,11084
25116,15527
1393,8656
8610,11729
4467,16126
4446,22792
50505,6102
18680,6071
48415,8118
23339,11057
23105,15483
1464,8607
7879,11677
4013,16085
4089,22725
31276,6153
11679,6087
30006,8185
14147,11083
14244,15523
885,8631
4769,11777
2560,16125
2594,22785
7757,6192
2850,6118
7495,8134
3566,11025
3535,15442
212,8677
1172,11702
635,16038
627,22664
18143,6150
6565,6091
17356,8130
8324,11084
8278,15527
498,8637
2933,11696
1490,16126
1470,22792
16464,6168
6131,6118
15829,8169
7658,11072
7458,15513
468,8678
2472,11754
1347,16108
1315,22770
16064,6102
5723,6071
15462,8158
7360,11084
7170,15527
440,8607
2510,11738
1250,16126
1327,22792
