population,priceout
40989,6075
15013,6065
38856,8032
18794,10820
18813,15095
1158,8598
6372,11548
3216,15730
3353,22143
22952,6286
8502,6222
21834,8276
10333,11243
10664,15198
660,8834
3483,11915
1810,16364
1900,22297
19894,6257
7257,6100
18797,8081
9230,10951
8964,15306
565,8650
3071,11621
1537,15927
1632,22459
16294,6069
5777,6037
15288,8032
7430,10808
7237,15088
464,8556
2535,11548
1358,15712
1258,22132
11941,6191
4343,6050
11318,8070
5557,10954
5484,15198
372,8575
1797,11606
964,15931
934,22297
