prf,pop,age,zipx,zipy,tob
1,77350,0,0,0,0
2,28429,1,0,0,0
3,73975,2,0,0,0
4,35505,3,0,0,0
5,35432,4,0,0,0
6,2068,1,0,0,1
7,12185,2,0,0,1
8,6270,3,0,0,1
9,6221,4,0,0,1
10,44279,0,7,67,0
11,16137,1,7,67,0
12,42174,2,7,67,0
13,20212,3,7,67,0
14,20084,4,7,67,0
15,1258,1,7,67,1
16,6818,2,7,67,1
17,3600,3,7,67,1
18,3660,4,7,67,1
19,27102,0,22,-85,0
20,10060,1,22,-85,0
21,25843,2,22,-85,0
22,12500,3,22,-85,0
23,12307,4,22,-85,0
24,761,1,22,-85,1
25,4138,2,22,-85,1
26,2202,3,22,-85,1
27,2141,4,22,-85,1
28,38855,0,56,-24,0
29,14253,1,56,-24,0
30,36902,2,56,-24,0
31,17560,3,56,-24,0
32,17688,4,56,-24,0
33,1028,1,56,-24,1
34,6041,2,56,-24,1
35,3174,3,56,-24,1
36,3104,4,56,-24,1
37,18522,0,59,54,0
38,6808,1,59,54,0
39,17728,2,59,54,0
40,8528,3,59,54,0
41,8587,4,59,54,0
42,505,1,59,54,1
43,2924,2,59,54,1
44,1439,3,59,54,1
45,1452,4,59,54,1
46,16990,0,-118,-17,0
47,6326,1,-118,-17,0
48,16474,2,-118,-17,0
49,7672,3,-118,-17,0
50,7656,4,-118,-17,0
51,453,1,-118,-17,1
52,2776,2,-118,-17,1
53,1371,3,-118,-17,1
54,1391,4,-118,-17,1
55,27491,0,-88,72,0
56,10116,1,-88,72,0
57,26177,2,-88,72,0
58,12442,3,-88,72,0
59,12699,4,-88,72,0
60,720,1,-88,72,1
61,4257,2,-88,72,1
62,2115,3,-88,72,1
63,2147,4,-88,72,1
64,15635,0,-55,-9,0
65,5758,1,-55,-9,0
66,14797,2,-55,-9,0
67,7164,3,-55,-9,0
68,7082,4,-55,-9,0
69,441,1,-55,-9,1
70,2427,2,-55,-9,1
71,1243,3,-55,-9,1
72,1249,4,-55,-9,1
73,13029,0,89,105,0
74,4884,1,89,105,0
75,12702,2,89,105,0
76,5985,3,89,105,0
77,6040,4,89,105,0
78,344,1,89,105,1
79,2049,2,89,105,1
80,1001,3,89,105,1
81,1088,4,89,105,1
