prf,pop,age,zipx,zipy,tob
1,63112,0,0,0,0
2,23251,1,0,0,0
3,59800,2,0,0,0
4,28714,3,0,0,0
5,28742,4,0,0,0
6,1615,1,0,0,1
7,9834,2,0,0,1
8,5083,3,0,0,1
9,5080,4,0,0,1
10,57775,0,71,-50,0
11,21345,1,71,-50,0
12,55419,2,71,-50,0
13,26671,3,71,-50,0
14,26413,4,71,-50,0
15,1641,1,71,-50,1
16,9011,2,71,-50,1
17,4600,3,71,-50,1
18,4659,4,71,-50,1
19,35767,0,-80,99,0
20,13242,1,-80,99,0
21,34311,2,-80,99,0
22,16255,3,-80,99,0
23,16202,4,-80,99,0
24,1033,1,-80,99,1
25,5475,2,-80,99,1
26,2920,3,-80,99,1
27,2958,4,-80,99,1
28,8915,0,-82,34,0
29,3235,1,-82,34,0
30,8540,2,-82,34,0
31,4048,3,-82,34,0
32,4035,4,-82,34,0
33,249,1,-82,34,1
34,1349,2,-82,34,1
35,706,3,-82,34,1
36,714,4,-82,34,1
37,20712,0,17,71,0
38,7521,1,17,71,0
39,19804,2,17,71,0
40,9516,3,17,71,0
41,9456,4,17,71,0
42,562,1,17,71,1
43,3346,2,17,71,1
44,1699,3,17,71,1
45,1689,4,17,71,1
46,18741,0,-72,-65,0
47,7021,1,-72,-65,0
48,18125,2,-72,-65,0
49,8737,3,-72,-65,0
50,8535,4,-72,-65,0
51,528,1,-72,-65,1
52,2812,2,-72,-65,1
53,1559,3,-72,-65,1
54,1529,4,-72,-65,1
55,18321,0,15,-63,0
56,6532,1,15,-63,0
57,17586,2,15,-63,0
58,8393,3,15,-63,0
59,8211,4,15,-63,0
60,504,1,15,-63,1
61,2896,2,15,-63,1
62,1435,3,15,-63,1
63,1511,4,15,-63,1
