prf,pop,age,zipx,zipy,tob,zip
1,63112,0,0,0,0,0
2,23251,1,0,0,0,0
3,59800,2,0,0,0,0
4,28714,3,0,0,0,0
5,28742,4,0,0,0,0
6,1615,1,0,0,1,0
7,9834,2,0,0,1,0
8,5083,3,0,0,1,0
9,5080,4,0,0,1,0
10,57775,0,71,-50,0,1
11,21345,1,71,-50,0,1
12,55419,2,71,-50,0,1
13,26671,3,71,-50,0,1
14,26413,4,71,-50,0,1
15,1641,1,71,-50,1,1
16,9011,2,71,-50,1,1
17,4600,3,71,-50,1,1
18,4659,4,71,-50,1,1
19,35767,0,-80,99,0,2
20,13242,1,-80,99,0,2
21,34311,2,-80,99,0,2
22,16255,3,-80,99,0,2
23,16202,4,-80,99,0,2
24,1033,1,-80,99,1,2
25,5475,2,-80,99,1,2
26,2920,3,-80,99,1,2
27,2958,4,-80,99,1,2
28,8915,0,-82,34,0,3
29,3235,1,-82,34,0,3
30,8540,2,-82,34,0,3
31,4048,3,-82,34,0,3
32,4035,4,-82,34,0,3
33,249,1,-82,34,1,3
34,1349,2,-82,34,1,3
35,706,3,-82,34,1,3
36,714,4,-82,34,1,3
37,20712,0,17,71,0,4
38,7521,1,17,71,0,4
39,19804,2,17,71,0,4
40,9516,3,17,71,0,4
41,9456,4,17,71,0,4
42,562,1,17,71,1,4
43,3346,2,17,71,1,4
44,1699,3,17,71,1,4
45,1689,4,17,71,1,4
46,18741,0,-72,-65,0,5
47,7021,1,-72,-65,0,5
48,18125,2,-72,-65,0,5
49,8737,3,-72,-65,0,5
50,8535,4,-72,-65,0,5
51,528,1,-72,-65,1,5
52,2812,2,-72,-65,1,5
53,1559,3,-72,-65,1,5
54,1529,4,-72,-65,1,5
55,18321,0,15,-63,0,6
56,6532,1,15,-63,0,6
57,17586,2,15,-63,0,6
58,8393,3,15,-63,0,6
59,8211,4,15,-63,0,6
60,504,1,15,-63,1,6
61,2896,2,15,-63,1,6
62,1435,3,15,-63,1,6
63,1511,4,15,-63,1,6
