prf,pop,age,zipx,zipy,tob
1,52442,0,0,0,0
2,19183,1,0,0,0
3,50228,2,0,0,0
4,24155,3,0,0,0
5,23863,4,0,0,0
6,1364,1,0,0,1
7,8131,2,0,0,1
8,4247,3,0,0,1
9,4237,4,0,0,1
10,30104,0,7,67,0
11,10931,1,7,67,0
12,28415,2,7,67,0
13,13465,3,7,67,0
14,13473,4,7,67,0
15,806,1,7,67,1
16,4684,2,7,67,1
17,2427,3,7,67,1
18,2433,4,7,67,1
19,18362,0,22,-85,0
20,6757,1,22,-85,0
21,17540,2,22,-85,0
22,8252,3,22,-85,0
23,8338,4,22,-85,0
24,482,1,22,-85,1
25,2935,2,22,-85,1
26,1400,3,22,-85,1
27,1429,4,22,-85,1
28,26470,0,56,-24,0
29,9908,1,56,-24,0
30,25277,2,56,-24,0
31,11790,3,56,-24,0
32,12068,4,56,-24,0
33,701,1,56,-24,1
34,4193,2,56,-24,1
35,2061,3,56,-24,1
36,2098,4,56,-24,1
37,12646,0,59,54,0
38,4701,1,59,54,0
39,12142,2,59,54,0
40,5806,3,59,54,0
41,5762,4,59,54,0
42,343,1,59,54,1
43,1968,2,59,54,1
44,961,3,59,54,1
45,1022,4,59,54,1
