population,priceout
78356,6126
28684,6048
75080,8065
35588,10888
35740,15230
2057,8572
12307,11597
6377,15832
6237,22346
42330,6143
15489,6076
40741,8104
19321,10939
19273,15296
1158,8614
6672,11657
3498,15909
3488,22445
19580,6124
7113,6046
19082,8065
8802,10888
9039,15230
552,8569
3068,11597
1589,15832
1585,22346
21848,6124
8039,6045
21216,8063
9906,10885
10039,15226
606,8567
3386,11595
1789,15828
1797,22340
36308,6063
13319,5986
34443,7992
16575,10782
16607,15059
976,8480
5590,11489
2963,15673
2988,22088
14414,6130
5224,6056
13471,8074
6474,10898
6537,15243
411,8584
2178,11611
1165,15848
1115,22364
23441,6026
8473,5966
22695,7971
10919,10754
10872,15043
669,8450
3648,11457
1905,15631
1874,22065
14835,6130
5485,6056
14316,8074
6825,10937
6775,15296
399,8584
2330,11611
1190,15906
1159,22445
