population,priceout
51407,6117
18749,6066
48566,7962
23326,10673
23506,14907
1437,8599
7949,11443
4019,15510
4169,21860
28796,6118
10631,6091
27383,7963
12973,10753
13271,15033
822,8636
4354,11445
2274,15629
2365,22050
24939,6126
9053,6093
23596,8052
11509,10788
11210,15096
711,8639
3819,11578
1936,15682
2027,22144
20350,6117
7201,6052
19086,8038
9252,10769
8986,15071
561,8579
3125,11558
1678,15653
1583,22106
14946,6113
5388,6063
14211,8029
6883,10858
6843,15193
455,8594
2252,11544
1227,15788
1176,22290
