population,priceout
51403,6395
18987,6161
48805,8142
23405,11042
23527,15444
1316,8741
8053,11713
4182,16063
4147,22667
47163,6227
17579,6110
45228,8180
21635,11127
21437,15558
1358,8665
7322,11771
3768,16191
3810,22837
29163,6277
10768,6176
28093,8160
13334,11100
13377,15526
812,8765
4526,11740
2366,16150
2388,22789
7111,6268
2630,6050
6894,8093
3273,11004
3302,15390
210,8575
1158,11639
597,16006
580,22586
16921,6266
6290,6161
16429,8136
7852,11065
7648,15477
458,8741
2590,11704
1389,16098
1350,22716
15483,6258
5572,6112
14854,8142
7178,11073
6935,15504
440,8668
2418,11713
1223,16110
1263,22756
