prf,pop,age,zipx,zipy,tob
1,51407,0,0,0,0
2,18749,1,0,0,0
3,48566,2,0,0,0
4,23326,3,0,0,0
5,23506,4,0,0,0
6,1437,1,0,0,1
7,7949,2,0,0,1
8,4019,3,0,0,1
9,4169,4,0,0,1
10,28796,0,7,-54,0
11,10631,1,7,-54,0
12,27383,2,7,-54,0
13,12973,3,7,-54,0
14,13271,4,7,-54,0
15,822,1,7,-54,1
16,4354,2,7,-54,1
17,2274,3,7,-54,1
18,2365,4,7,-54,1
19,24939,0,75,34,0
20,9053,1,75,34,0
21,23596,2,75,34,0
22,11509,3,75,34,0
23,11210,4,75,34,0
24,711,1,75,34,1
25,3819,2,75,34,1
26,1936,3,75,34,1
27,2027,4,75,34,1
28,20350,0,-7,71,0
29,7201,1,-7,71,0
30,19086,2,-7,71,0
31,9252,3,-7,71,0
32,8986,4,-7,71,0
33,561,1,-7,71,1
34,3125,2,-7,71,1
35,1678,3,-7,71,1
36,1583,4,-7,71,1
37,14946,0,-34,-99,0
38,5388,1,-34,-99,0
39,14211,2,-34,-99,0
40,6883,3,-34,-99,0
41,6843,4,-34,-99,0
42,455,1,-34,-99,1
43,2252,2,-34,-99,1
44,1227,3,-34,-99,1
45,1176,4,-34,-99,1
