prf,pop,age,zipx,zipy,tob,zip
1,34681,0,0,0,0,0
2,12694,1,0,0,0,0
3,33161,2,0,0,0,0
4,15703,3,0,0,0,0
5,15874,4,0,0,0,0
6,923,1,0,0,1,0
7,5294,2,0,0,1,0
8,2838,3,0,0,1,0
9,2843,4,0,0,1,0
10,19754,0,7,67,0,1
11,7304,1,7,67,0,1
12,18664,2,7,67,0,1
13,8887,3,7,67,0,1
14,8890,4,7,67,0,1
15,529,1,7,67,1,1
16,3129,2,7,67,1,1
17,1583,3,7,67,1,1
18,1560,4,7,67,1,1
19,12147,0,22,-85,0,2
20,4444,1,22,-85,0,2
21,11445,2,22,-85,0,2
22,5422,3,22,-85,0,2
23,5435,4,22,-85,0,2
24,310,1,22,-85,1,2
25,1911,2,22,-85,1,2
26,944,3,22,-85,1,2
27,918,4,22,-85,1,2
28,17638,0,56,-24,0,3
29,6514,1,56,-24,0,3
30,16672,2,56,-24,0,3
31,7922,3,56,-24,0,3
32,8092,4,56,-24,0,3
33,455,1,56,-24,1,3
34,2648,2,56,-24,1,3
35,1396,3,56,-24,1,3
36,1376,4,56,-24,1,3
