prf,pop,age,zipx,zipy,tob
1,34681,0,0,0,0
2,12694,1,0,0,0
3,33161,2,0,0,0
4,15703,3,0,0,0
5,15874,4,0,0,0
6,923,1,0,0,1
7,5294,2,0,0,1
8,2838,3,0,0,1
9,2843,4,0,0,1
10,19754,0,7,67,0
11,7304,1,7,67,0
12,18664,2,7,67,0
13,8887,3,7,67,0
14,8890,4,7,67,0
15,529,1,7,67,1
16,3129,2,7,67,1
17,1583,3,7,67,1
18,1560,4,7,67,1
19,12147,0,22,-85,0
20,4444,1,22,-85,0
21,11445,2,22,-85,0
22,5422,3,22,-85,0
23,5435,4,22,-85,0
24,310,1,22,-85,1
25,1911,2,22,-85,1
26,944,3,22,-85,1
27,918,4,22,-85,1
28,17638,0,56,-24,0
29,6514,1,56,-24,0
30,16672,2,56,-24,0
31,7922,3,56,-24,0
32,8092,4,56,-24,0
33,455,1,56,-24,1
34,2648,2,56,-24,1
35,1396,3,56,-24,1
36,1376,4,56,-24,1
