prf,pop,age,zipx,zipy,tob,zip
1,41895,0,0,0,0,0
2,15375,1,0,0,0,0
3,40214,2,0,0,0,0
4,19211,3,0,0,0,0
5,19181,4,0,0,0,0
6,1089,1,0,0,1,0
7,6505,2,0,0,1,0
8,3406,3,0,0,1,0
9,3415,4,0,0,1,0
10,24095,0,7,67,0,1
11,8726,1,7,67,0,1
12,22782,2,7,67,0,1
13,10755,3,7,67,0,1
14,10791,4,7,67,0,1
15,647,1,7,67,1,1
16,3726,2,7,67,1,1
17,1925,3,7,67,1,1
18,1945,4,7,67,1,1
19,14674,0,22,-85,0,2
20,5435,1,22,-85,0,2
21,14026,2,22,-85,0,2
22,6590,3,22,-85,0,2
23,6638,4,22,-85,0,2
24,388,1,22,-85,1,2
25,2329,2,22,-85,1,2
26,1150,3,22,-85,1,2
27,1140,4,22,-85,1,2
28,21232,0,56,-24,0,3
29,7918,1,56,-24,0,3
30,20121,2,56,-24,0,3
31,9464,3,56,-24,0,3
32,9657,4,56,-24,0,3
33,578,1,56,-24,1,3
34,3342,2,56,-24,1,3
35,1677,3,56,-24,1,3
36,1659,4,56,-24,1,3
37,10143,0,59,54,0,4
38,3738,1,59,54,0,4
39,9730,2,59,54,0,4
40,4619,3,59,54,0,4
41,4654,4,59,54,0,4
42,264,1,59,54,1,4
43,1541,2,59,54,1,4
44,782,3,59,54,1,4
45,828,4,59,54,1,4
