prf,pop,age,zipx,zipy,tob
1,61347,0,0,0,0
2,22510,1,0,0,0
3,58988,2,0,0,0
4,28145,3,0,0,0
5,28183,4,0,0,0
6,1752,1,0,0,1
7,9454,2,0,0,1
8,4923,3,0,0,1
9,4880,4,0,0,1
10,33811,0,79,39,0
11,12317,1,79,39,0
12,32213,2,79,39,0
13,15344,3,79,39,0
14,15059,4,79,39,0
15,952,1,79,39,1
16,5252,2,79,39,1
17,2836,3,79,39,1
18,2653,4,79,39,1
19,15591,0,-26,-43,0
20,5694,1,-26,-43,0
21,14723,2,-26,-43,0
22,7076,3,-26,-43,0
23,7119,4,-26,-43,0
24,426,1,-26,-43,1
25,2452,2,-26,-43,1
26,1247,3,-26,-43,1
27,1201,4,-26,-43,1
28,17585,0,-90,-35,0
29,6346,1,-90,-35,0
30,16631,2,-90,-35,0
31,7908,3,-90,-35,0
32,7806,4,-90,-35,0
33,473,1,-90,-35,1
34,2666,2,-90,-35,1
35,1344,3,-90,-35,1
36,1370,4,-90,-35,1
37,28851,0,66,-15,0
38,10434,1,66,-15,0
39,26808,2,66,-15,0
40,12817,3,66,-15,0
41,13000,4,66,-15,0
42,803,1,66,-15,1
43,4450,2,66,-15,1
44,2296,3,66,-15,1
45,2245,4,66,-15,1
46,11100,0,-28,82,0
47,4176,1,-28,82,0
48,10764,2,-28,82,0
49,5081,3,-28,82,0
50,5071,4,-28,82,0
51,290,1,-28,82,1
52,1744,2,-28,82,1
53,891,3,-28,82,1
54,902,4,-28,82,1
