population,priceout
78710,6148
28705,6080
74420,8090
35889,10927
36107,15194
2165,8620
12102,11635
6402,15891
6296,22291
43680,6147
16098,6078
42184,8077
19986,10869
20012,15198
1180,8617
6725,11616
3508,15804
3506,22297
37908,6191
13890,6083
35774,8090
17202,10869
17081,15198
1034,8625
5740,11635
2950,15804
3127,22297
30423,6131
11339,6064
29307,8050
14061,10870
13636,15198
851,8597
4805,11575
2560,15805
2460,22297
22953,6146
8439,6070
21685,8083
10496,10869
10445,15198
598,8605
3578,11625
1884,15804
1832,22297
19034,6152
6974,6060
17765,8077
8529,10908
8627,15260
498,8590
2947,11616
1523,15863
1486,22390
28143,6154
10282,6064
27199,8098
12884,10908
12810,15198
763,8597
4394,11648
2274,15863
2266,22297
10987,6148
4105,6069
10470,8090
5079,10927
5000,15194
301,8604
1730,11635
910,15891
864,22291
7968,6143
2960,6064
7550,8071
3585,10870
3580,15198
225,8597
1214,11607
674,15805
667,22297
