population,priceout
69225,6140
25404,5934
65533,7882
31556,10668
31461,14895
1916,8402
10668,11324
5589,15503
5608,21842
39598,5999
14447,5934
37578,7895
17774,10599
18308,14795
1038,8402
6260,11343
3070,15399
3287,21693
24305,6026
8711,5989
23153,7953
11155,10769
10936,15030
677,8483
3845,11430
2051,15653
1976,22045
34717,6212
12799,5936
33149,7950
15754,10763
15932,15011
915,8404
5354,11426
2789,15645
2745,22017
16712,5999
6156,5969
15853,7935
7574,10734
7735,15015
436,8453
2596,11403
1363,15601
1367,22022
15138,6074
5426,6015
14533,7986
6902,10815
7026,15098
401,8523
2404,11480
1248,15723
1229,22147
24147,6042
8853,6026
23013,8011
11192,10850
11131,15144
667,8539
3786,11517
1962,15775
1867,22217
