prf,pop,age,zipx,zipy,tob
1,54817,0,0,0,0
2,20044,1,0,0,0
3,52778,2,0,0,0
4,25112,3,0,0,0
5,25014,4,0,0,0
6,1595,1,0,0,1
7,8454,2,0,0,1
8,4515,3,0,0,1
9,4290,4,0,0,1
10,29976,0,79,39,0
11,10968,1,79,39,0
12,28682,2,79,39,0
13,13670,3,79,39,0
14,13583,4,79,39,0
15,817,1,79,39,1
16,4670,2,79,39,1
17,2455,3,79,39,1
18,2400,4,79,39,1
19,14025,0,-26,-43,0
20,5151,1,-26,-43,0
21,13141,2,-26,-43,0
22,6343,3,-26,-43,0
23,6379,4,-26,-43,0
24,404,1,-26,-43,1
25,2215,2,-26,-43,1
26,1099,3,-26,-43,1
27,1085,4,-26,-43,1
28,15560,0,-90,-35,0
29,5655,1,-90,-35,0
30,14750,2,-90,-35,0
31,6983,3,-90,-35,0
32,6994,4,-90,-35,0
33,428,1,-90,-35,1
34,2331,2,-90,-35,1
35,1249,3,-90,-35,1
36,1189,4,-90,-35,1
37,25826,0,66,-15,0
38,9377,1,66,-15,0
39,24146,2,66,-15,0
40,11598,3,66,-15,0
41,11539,4,66,-15,0
42,699,1,66,-15,1
43,3981,2,66,-15,1
44,2018,3,66,-15,1
45,1995,4,66,-15,1
