population,priceout
52442,6077
19183,6026
50228,8014
24155,10866
23863,15189
1364,8540
8131,11521
4247,15799
4237,22283
30104,6134
10931,6059
28415,8056
13465,10894
13473,15226
806,8589
4684,11584
2427,15841
2433,22339
18362,6212
6757,6032
17540,7965
8252,10817
8338,15121
482,8548
2935,11448
1400,15725
1429,22182
26470,6044
9908,5980
25277,7960
11790,10792
12068,15091
701,8471
4193,11441
2061,15688
2098,22137
12646,6106
4701,6053
12142,8044
5806,10886
5762,15228
343,8579
1968,11567
961,15829
1022,22342
