prf,pop,age,zipx,zipy,tob,zip
1,40989,0,0,0,0,0
2,15013,1,0,0,0,0
3,38856,2,0,0,0,0
4,18794,3,0,0,0,0
5,18813,4,0,0,0,0
6,1158,1,0,0,1,0
7,6372,2,0,0,1,0
8,3216,3,0,0,1,0
9,3353,4,0,0,1,0
10,22952,0,7,-54,0,1
11,8502,1,7,-54,0,1
12,21834,2,7,-54,0,1
13,10333,3,7,-54,0,1
14,10664,4,7,-54,0,1
15,660,1,7,-54,1,1
16,3483,2,7,-54,1,1
17,1810,3,7,-54,1,1
18,1900,4,7,-54,1,1
19,19894,0,75,34,0,2
20,7257,1,75,34,0,2
21,18797,2,75,34,0,2
22,9230,3,75,34,0,2
23,8964,4,75,34,0,2
24,565,1,75,34,1,2
25,3071,2,75,34,1,2
26,1537,3,75,34,1,2
27,1632,4,75,34,1,2
28,16294,0,-7,71,0,3
29,5777,1,-7,71,0,3
30,15288,2,-7,71,0,3
31,7430,3,-7,71,0,3
32,7237,4,-7,71,0,3
33,464,1,-7,71,1,3
34,2535,2,-7,71,1,3
35,1358,3,-7,71,1,3
36,1258,4,-7,71,1,3
37,11941,0,-34,-99,0,4
38,4343,1,-34,-99,0,4
39,11318,2,-34,-99,0,4
40,5557,3,-34,-99,0,4
41,5484,4,-34,-99,0,4
42,372,1,-34,-99,1,4
43,1797,2,-34,-99,1,4
44,964,3,-34,-99,1,4
45,934,4,-34,-99,1,4
