prf,pop,age,zipx,zipy,tob
1,40989,0,0,0,0
2,15013,1,0,0,0
3,38856,2,0,0,0
4,18794,3,0,0,0
5,18813,4,0,0,0
6,1158,1,0,0,1
7,6372,2,0,0,1
8,3216,3,0,0,1
9,3353,4,0,0,1
10,22952,0,7,-54,0
11,8502,1,7,-54,0
12,21834,2,7,-54,0
13,10333,3,7,-54,0
14,10664,4,7,-54,0
15,660,1,7,-54,1
16,3483,2,7,-54,1
17,1810,3,7,-54,1
18,1900,4,7,-54,1
19,19894,0,75,34,0
20,7257,1,75,34,0
21,18797,2,75,34,0
22,9230,3,75,34,0
23,8964,4,75,34,0
24,565,1,75,34,1
25,3071,2,75,34,1
26,1537,3,75,34,1
27,1632,4,75,34,1
28,16294,0,-7,71,0
29,5777,1,-7,71,0
30,15288,2,-7,71,0
31,7430,3,-7,71,0
32,7237,4,-7,71,0
33,464,1,-7,71,1
34,2535,2,-7,71,1
35,1358,3,-7,71,1
36,1258,4,-7,71,1
37,11941,0,-34,-99,0
38,4343,1,-34,-99,0
39,11318,2,-34,-99,0
40,5557,3,-34,-99,0
41,5484,4,-34,-99,0
42,372,1,-34,-99,1
43,1797,2,-34,-99,1
44,964,3,-34,-99,1
45,934,4,-34,-99,1
