population,priceout
63831,6084
23488,6048
60501,8019
29060,10909
29212,15284
1635,8573
9981,11529
5102,15864
5165,22427
58584,6089
21636,6044
55834,8069
26914,10909
26735,15241
1628,8566
9040,11604
4674,15864
4624,22362
36201,6028
13275,6004
34689,7976
16488,10925
16264,15274
1017,8507
5565,11465
2952,15888
2979,22411
8932,6130
3180,6059
8701,8038
4064,10929
4048,15311
283,8588
1286,11557
721,15893
767,22467
20968,6025
7798,5998
20136,7965
9577,10967
9623,15366
572,8498
3334,11448
1708,15951
1732,22549
19086,6227
6921,6162
18121,8104
8776,11016
8719,15376
535,8743
3010,11657
1570,16025
1561,22564
18406,6089
6887,6044
17715,8058
8438,10909
8340,15284
513,8566
2801,11587
1476,15864
1449,22427
25497,6025
9161,5998
24433,7965
11785,10786
11433,15112
702,8498
4031,11448
2041,15679
2089,22168
