population,priceout
77350,6091
28429,6037
73975,8058
35505,10811
35432,15117
2068,8555
12185,11587
6270,15717
6221,22176
44279,6091
16137,6037
42174,8058
20212,10811
20084,15117
1258,8555
6818,11587
3600,15717
3660,22176
27102,6029
10060,5992
25843,7959
12500,10715
12307,14971
761,8488
4138,11439
2202,15572
2141,21957
38855,6091
14253,6037
36902,8058
17560,10811
17688,15117
1028,8555
6041,11587
3174,15717
3104,22176
18522,6091
6808,6037
17728,8058
8528,10811
8587,15128
505,8555
2924,11587
1439,15717
1452,22192
16990,6068
6326,5999
16474,8023
7672,10884
7656,15221
453,8499
2776,11534
1371,15826
1391,22332
27491,6088
10116,6037
26177,8023
12442,10807
12699,15117
720,8555
4257,11534
2115,15710
2147,22176
15635,6091
5758,6037
14797,8023
7164,10884
7082,15225
441,8555
2427,11534
1243,15826
1249,22338
13029,6091
4884,6037
12702,8063
5985,10819
6040,15128
344,8555
2049,11595
1001,15728
1088,22192
