prf,pop,age,zipx,zipy,tob,zip
1,31726,0,0,0,0,0
2,11554,1,0,0,0,0
3,30470,2,0,0,0,0
4,14565,3,0,0,0,0
5,14671,4,0,0,0,0
6,859,1,0,0,1,0
7,4942,2,0,0,1,0
8,2478,3,0,0,1,0
9,2663,4,0,0,1,0
10,29405,0,71,-50,0,1
11,10772,1,71,-50,0,1
12,27760,2,71,-50,0,1
13,13444,3,71,-50,0,1
14,13609,4,71,-50,0,1
15,812,1,71,-50,1,1
16,4523,2,71,-50,1,1
17,2403,3,71,-50,1,1
18,2324,4,71,-50,1,1
19,18378,0,-80,99,0,2
20,6482,1,-80,99,0,2
21,17183,2,-80,99,0,2
22,8233,3,-80,99,0,2
23,8247,4,-80,99,0,2
24,504,1,-80,99,1,2
25,2786,2,-80,99,1,2
26,1503,3,-80,99,1,2
27,1451,4,-80,99,1,2
28,4498,0,-82,34,0,3
29,1649,1,-82,34,0,3
30,4429,2,-82,34,0,3
31,2095,3,-82,34,0,3
32,2066,4,-82,34,0,3
33,119,1,-82,34,1,3
34,693,2,-82,34,1,3
35,329,3,-82,34,1,3
36,375,4,-82,34,1,3
