prf,pop,age,zipx,zipy,tob
1,74867,0,0,0,0
2,27574,1,0,0,0
3,71065,2,0,0,0
4,34328,3,0,0,0
5,34368,4,0,0,0
6,2042,1,0,0,1
7,11680,2,0,0,1
8,5935,3,0,0,1
9,5902,4,0,0,1
10,33413,0,19,-65,0
11,12015,1,19,-65,0
12,31181,2,19,-65,0
13,15056,3,19,-65,0
14,15087,4,19,-65,0
15,932,1,19,-65,1
16,5135,2,19,-65,1
17,2671,3,19,-65,1
18,2624,4,19,-65,1
19,46093,0,93,-72,0
20,16706,1,93,-72,0
21,43599,2,93,-72,0
22,20984,3,93,-72,0
23,20859,4,93,-72,0
24,1285,1,93,-72,1
25,7148,2,93,-72,1
26,3698,3,93,-72,1
27,3638,4,93,-72,1
28,33633,0,68,-2,0
29,12234,1,68,-2,0
30,32237,2,68,-2,0
31,15519,3,68,-2,0
32,15391,4,68,-2,0
33,875,1,68,-2,1
34,5291,2,68,-2,1
35,2751,3,68,-2,1
36,2723,4,68,-2,1
37,19601,0,48,47,0
38,7134,1,48,47,0
39,18639,2,48,47,0
40,9035,3,48,47,0
41,8784,4,48,47,0
42,575,1,48,47,1
43,3085,2,48,47,1
44,1572,3,48,47,1
45,1568,4,48,47,1
46,29209,0,-88,59,0
47,10823,1,-88,59,0
48,27622,2,-88,59,0
49,13300,3,-88,59,0
50,13222,4,-88,59,0
51,799,1,-88,59,1
52,4637,2,-88,59,1
53,2475,3,-88,59,1
54,2315,4,-88,59,1
55,14203,0,19,-119,0
56,5256,1,19,-119,0
57,13605,2,19,-119,0
58,6495,3,19,-119,0
59,6538,4,19,-119,0
60,410,1,19,-119,1
61,2155,2,19,-119,1
62,1170,3,19,-119,1
63,1103,4,19,-119,1
64,16336,0,-33,72,0
65,6017,1,-33,72,0
66,15912,2,-33,72,0
67,7600,3,-33,72,0
68,7475,4,-33,72,0
69,450,1,-33,72,1
70,2454,2,-33,72,1
71,1266,3,-33,72,1
72,1234,4,-33,72,1
73,12753,0,-67,-115,0
74,4661,1,-67,-115,0
75,11898,2,-67,-115,0
76,5831,3,-67,-115,0
77,5889,4,-67,-115,0
78,322,1,-67,-115,1
79,1963,2,-67,-115,1
80,1030,3,-67,-115,1
81,1040,4,-67,-115,1
