prf,pop,age,zipx,zipy,tob,zip
1,27418,0,0,0,0,0
2,9965,1,0,0,0,0
3,26070,2,0,0,0,0
4,12678,3,0,0,0,0
5,12369,4,0,0,0,0
6,784,1,0,0,1,0
7,4234,2,0,0,1,0
8,2211,3,0,0,1,0
9,2153,4,0,0,1,0
10,15329,0,7,-54,0,1
11,5540,1,7,-54,0,1
12,14731,2,7,-54,0,1
13,6889,3,7,-54,0,1
14,7002,4,7,-54,0,1
15,479,1,7,-54,1,1
16,2425,2,7,-54,1,1
17,1282,3,7,-54,1,1
18,1262,4,7,-54,1,1
19,13157,0,75,34,0,2
20,4799,1,75,34,0,2
21,12506,2,75,34,0,2
22,6120,3,75,34,0,2
23,6005,4,75,34,0,2
24,394,1,75,34,1,2
25,2075,2,75,34,1,2
26,1085,3,75,34,1,2
27,1038,4,75,34,1,2
