population,priceout
65140,6182
23840,6032
62166,8061
29665,10928
29826,15308
1739,8548
10046,11592
5274,15892
5321,22463
35194,6098
12848,6054
33476,7981
16025,10758
15781,15071
955,8581
5509,11471
2905,15637
2849,22106
16189,6150
6039,6046
15533,7972
7464,10897
7347,15265
470,8569
2562,11458
1309,15845
1306,22398
18230,6298
6614,6136
17452,8196
8372,11120
8320,15362
490,8704
2746,11794
1467,16180
1485,22544
29768,6297
10883,6059
28399,8056
13678,10920
13693,15308
830,8589
4620,11584
2427,15880
2524,22463
11386,6150
4322,6009
11116,8046
5360,10909
5365,15286
308,8513
1810,11569
935,15864
901,22429
19491,6288
7136,5996
18674,7989
8993,10824
8704,15162
569,8494
3056,11483
1546,15736
1552,22244
