population,priceout
40402,6201
14837,6140
38809,8196
18436,11126
18235,15573
1049,8710
6291,11795
3252,16189
3225,22860
17884,6143
6580,6090
16858,8134
8104,11035
8181,15443
513,8635
2698,11701
1449,16053
1433,22665
25007,6157
9033,6051
23631,8087
11336,10982
11308,15385
680,8577
3856,11631
1982,15974
2002,22579
18350,6167
6744,6131
17455,8159
8263,11053
8057,15470
495,8697
2873,11739
1498,16080
1446,22705
10513,6314
3903,5997
10073,8027
4794,10884
4731,15232
278,8496
1702,11541
921,15826
833,22349
