population,priceout
74867,6147
27574,6041
71065,8030
34328,10937
34368,15259
2042,8561
11680,11545
5935,15906
5902,22389
33413,6144
12015,6089
31181,8067
15056,10875
15087,15241
932,8633
5135,11600
2671,15813
2624,22362
46093,6105
16706,6080
43599,8098
20984,10836
20859,15179
1285,8620
7148,11647
3698,15754
3638,22268
33633,6133
12234,6059
32237,8067
15519,10880
15391,15245
875,8589
5291,11600
2751,15820
2723,22368
19601,6144
7134,6062
18639,8074
9035,10941
8784,15265
575,8593
3085,11611
1572,15912
1568,22398
29209,6134
10823,5988
27622,7981
13300,10789
13222,15098
799,8482
4637,11471
2475,15684
2315,22147
14203,6086
5256,6021
13605,8090
6495,10837
6538,15191
410,8532
2155,11635
1170,15756
1103,22287
16336,6134
6017,6062
15912,8070
7600,10800
7475,15116
450,8593
2454,11606
1266,15701
1234,22174
12753,6109
4661,6078
11898,8108
5831,10934
5889,15191
322,8617
1963,11662
1030,15901
1040,22287
