ann,ser1,ser2,ser3,ser4,ser5,ser6,num_ser,zip
4954436,0,0,1,0,0,0,1,1
5304747,0,0,1,0,0,0,1,1
5154619,0,0,1,0,0,0,1,3
5254705,0,0,1,0,0,0,1,2
5104567,0,0,1,0,0,0,1,2
4704209,0,0,1,0,0,0,1,2
5655056,0,0,1,0,0,0,1,0
5655056,0,0,1,0,0,0,1,2
5054520,0,0,1,0,0,0,1,2
5504930,0,0,1,0,0,0,1,0
5104567,0,0,1,0,0,0,1,2
200308,0,0,0,0,0,1,1,0
190948,0,0,0,0,0,1,1,0
157251,0,0,0,0,0,1,1,3
170355,0,0,0,0,0,1,1,2
160995,0,0,0,0,0,1,1,3
192820,0,0,0,0,0,1,1,0
185332,0,0,0,0,0,1,1,2
187204,0,0,0,0,0,1,1,1
190948,0,0,0,0,0,1,1,3
196564,0,0,0,0,0,1,1,3
209669,0,0,0,0,0,1,1,0
196564,0,0,0,0,0,1,1,0
170355,0,0,0,0,0,1,1,2
196564,0,0,0,0,0,1,1,0
190948,0,0,0,0,0,1,1,3
190948,0,0,0,0,0,1,1,4
160995,0,0,0,0,0,1,1,3
166612,0,0,0,0,0,1,1,1
192820,0,0,0,0,0,1,1,0
183459,0,0,0,0,0,1,1,0
157251,0,0,0,0,0,1,1,2
185332,0,0,0,0,0,1,1,3
177844,0,0,0,0,0,1,1,4
192820,0,0,0,0,0,1,1,0
88554,1,0,0,0,0,0,1,0
105034,1,0,0,0,0,0,1,3
104000,1,0,0,0,0,0,1,2
107089,1,0,0,0,0,0,1,0
109149,1,0,0,0,0,0,1,0
104000,1,0,0,0,0,0,1,0
117387,1,0,0,0,0,0,1,3
108120,1,0,0,0,0,0,1,0
119446,1,0,0,0,0,0,1,0
109149,1,0,0,0,0,0,1,3
98849,1,0,0,0,0,0,1,3
97821,1,0,0,0,0,0,1,4
90617,1,0,0,0,0,0,1,4
102971,1,0,0,0,0,0,1,4
99883,1,0,0,0,0,0,1,1
101939,1,0,0,0,0,0,1,1
104000,1,0,0,0,0,0,1,3
113268,1,0,0,0,0,0,1,0
104000,1,0,0,0,0,0,1,2
111211,1,0,0,0,0,0,1,0
115330,1,0,0,0,0,0,1,0
113268,1,0,0,0,0,0,1,4
110180,1,0,0,0,0,0,1,0
91646,1,0,0,0,0,0,1,1
95764,1,0,0,0,0,0,1,0
98849,1,0,0,0,0,0,1,3
100912,1,0,0,0,0,0,1,3
112239,1,0,0,0,0,0,1,0
109149,1,0,0,0,0,0,1,3
