prf,pop,age,zipx,zipy,tob
1,50522,0,0,0,0
2,18499,1,0,0,0
3,48392,2,0,0,0
4,23192,3,0,0,0
5,22908,4,0,0,0
6,1335,1,0,0,1
7,7915,2,0,0,1
8,4053,3,0,0,1
9,4044,4,0,0,1
10,22416,0,19,-65,0
11,8183,1,19,-65,0
12,21155,2,19,-65,0
13,10117,3,19,-65,0
14,10171,4,19,-65,0
15,626,1,19,-65,1
16,3407,2,19,-65,1
17,1791,3,19,-65,1
18,1783,4,19,-65,1
19,31231,0,93,-72,0
20,11301,1,93,-72,0
21,29572,2,93,-72,0
22,14161,3,93,-72,0
23,14094,4,93,-72,0
24,850,1,93,-72,1
25,4799,2,93,-72,1
26,2472,3,93,-72,1
27,2504,4,93,-72,1
28,22949,0,68,-2,0
29,8292,1,68,-2,0
30,21871,2,68,-2,0
31,10335,3,68,-2,0
32,10134,4,68,-2,0
33,609,1,68,-2,1
34,3582,2,68,-2,1
35,1860,3,68,-2,1
36,1823,4,68,-2,1
37,13065,0,48,47,0
38,4881,1,48,47,0
39,12560,2,48,47,0
40,6040,3,48,47,0
41,5891,4,48,47,0
42,338,1,48,47,1
43,2122,2,48,47,1
44,1121,3,48,47,1
45,1034,4,48,47,1
