population,priceout
66881,6201
24695,6124
63442,8228
30727,10892
30865,15267
1865,8687
10555,11842
5345,15838
5338,22401
29805,6278
10653,6214
28007,8314
13443,11007
13421,15429
806,8822
4579,11971
2382,16011
2306,22644
41084,6277
14925,6209
39047,8124
18804,10719
18602,15024
1121,8814
6439,11686
3284,15578
3257,22036
30134,6265
11047,6194
28810,8308
13928,10711
13656,15024
796,8791
4761,11963
2411,15566
2458,22036
17320,6181
6358,6125
16463,8164
7915,10980
7920,15024
482,8688
2778,11747
1428,15970
1387,22036
25939,6292
9588,6207
24899,8269
11944,11015
11775,15116
712,8811
3927,11904
2090,16022
2009,22174
12763,6282
4592,6214
12018,8325
5848,10719
5847,15024
322,8822
1964,11988
989,15578
1044,22036
