prf,pop,age,zipx,zipy,tob,zip
1,67536,0,0,0,0,0
2,24795,1,0,0,0,0
3,64269,2,0,0,0,0
4,30646,3,0,0,0,0
5,30573,4,0,0,0,0
6,1877,1,0,0,1,0
7,10311,2,0,0,1,0
8,5413,3,0,0,1,0
9,5485,4,0,0,1,0
10,62025,0,71,-50,0,1
11,22616,1,71,-50,0,1
12,59093,2,71,-50,0,1
13,28085,3,71,-50,0,1
14,28089,4,71,-50,0,1
15,1680,1,71,-50,1,1
16,9749,2,71,-50,1,1
17,4981,3,71,-50,1,1
18,5036,4,71,-50,1,1
19,38621,0,-80,99,0,2
20,13913,1,-80,99,0,2
21,36688,2,-80,99,0,2
22,17618,3,-80,99,0,2
23,17426,4,-80,99,0,2
24,1074,1,-80,99,1,2
25,6025,2,-80,99,1,2
26,3055,3,-80,99,1,2
27,3160,4,-80,99,1,2
28,9596,0,-82,34,0,3
29,3459,1,-82,34,0,3
30,9015,2,-82,34,0,3
31,4220,3,-82,34,0,3
32,4291,4,-82,34,0,3
33,295,1,-82,34,1,3
34,1386,2,-82,34,1,3
35,730,3,-82,34,1,3
36,787,4,-82,34,1,3
37,22388,0,17,71,0,4
38,8065,1,17,71,0,4
39,21383,2,17,71,0,4
40,10165,3,17,71,0,4
41,10149,4,17,71,0,4
42,633,1,17,71,1,4
43,3401,2,17,71,1,4
44,1794,3,17,71,1,4
45,1796,4,17,71,1,4
46,20413,0,-72,-65,0,5
47,7378,1,-72,-65,0,5
48,19190,2,-72,-65,0,5
49,9157,3,-72,-65,0,5
50,9132,4,-72,-65,0,5
51,546,1,-72,-65,1,5
52,3128,2,-72,-65,1,5
53,1635,3,-72,-65,1,5
54,1654,4,-72,-65,1,5
55,19714,0,15,-63,0,6
56,7180,1,15,-63,0,6
57,18629,2,15,-63,0,6
58,8935,3,15,-63,0,6
59,8809,4,15,-63,0,6
60,463,1,15,-63,1,6
61,3108,2,15,-63,1,6
62,1623,3,15,-63,1,6
63,1628,4,15,-63,1,6
64,26679,0,-13,120,0,7
65,9929,1,-13,120,0,7
66,25664,2,-13,120,0,7
67,12357,3,-13,120,0,7
68,12323,4,-13,120,0,7
69,749,1,-13,120,1,7
70,4158,2,-13,120,1,7
71,2096,3,-13,120,1,7
72,2089,4,-13,120,1,7
73,13546,0,56,1,0,8
74,4968,1,56,1,0,8
75,12718,2,56,1,0,8
76,6078,3,56,1,0,8
77,6280,4,56,1,0,8
78,391,1,56,1,1,8
79,2051,2,56,1,1,8
80,1145,3,56,1,1,8
81,1065,4,56,1,1,8
