ann,ser1,ser2,ser3,ser4,ser5,ser6,num_ser,zip
5675026,0,0,1,0,0,0,1,1
5675026,0,0,1,0,0,0,1,1
5623907,0,0,1,0,0,0,1,0
4959262,0,0,1,0,0,0,1,2
5675026,0,0,1,0,0,0,1,0
5317149,0,0,1,0,0,0,1,4
5214892,0,0,1,0,0,0,1,7
5419397,0,0,1,0,0,0,1,1
5521659,0,0,1,0,0,0,1,0
4396870,0,0,1,0,0,0,1,7
5368274,0,0,1,0,0,0,1,4
4754747,0,0,1,0,0,0,1,4
4959262,0,0,1,0,0,0,1,2
4601375,0,0,1,0,0,0,1,1
5470525,0,0,1,0,0,0,1,2
5368274,0,0,1,0,0,0,1,5
5368274,0,0,1,0,0,0,1,4
5266025,0,0,1,0,0,0,1,6
5521659,0,0,1,0,0,0,1,1
4550251,0,0,1,0,0,0,1,7
6032913,0,0,1,0,0,0,1,4
179831,0,0,0,0,0,1,1,2
181705,0,0,0,0,0,1,1,0
174212,0,0,0,0,0,1,1,7
176086,0,0,0,0,0,1,1,2
172339,0,0,0,0,0,1,1,2
155479,0,0,0,0,0,1,1,1
187324,0,0,0,0,0,1,1,0
181705,0,0,0,0,0,1,1,1
185451,0,0,0,0,0,1,1,1
177958,0,0,0,0,0,1,1,1
204184,0,0,0,0,0,1,1,2
198564,0,0,0,0,0,1,1,2
179831,0,0,0,0,0,1,1,2
181705,0,0,0,0,0,1,1,5
177958,0,0,0,0,0,1,1,5
174212,0,0,0,0,0,1,1,0
176086,0,0,0,0,0,1,1,3
159225,0,0,0,0,0,1,1,0
194817,0,0,0,0,0,1,1,1
170465,0,0,0,0,0,1,1,4
189197,0,0,0,0,0,1,1,6
179831,0,0,0,0,0,1,1,7
179831,0,0,0,0,0,1,1,2
179831,0,0,0,0,0,1,1,2
155479,0,0,0,0,0,1,1,2
183577,0,0,0,0,0,1,1,0
161099,0,0,0,0,0,1,1,7
179831,0,0,0,0,0,1,1,0
172339,0,0,0,0,0,1,1,2
207930,0,0,0,0,0,1,1,7
177958,0,0,0,0,0,1,1,3
157352,0,0,0,0,0,1,1,6
179831,0,0,0,0,0,1,1,2
149859,0,0,0,0,0,1,1,2
181705,0,0,0,0,0,1,1,4
176086,0,0,0,0,0,1,1,2
172339,0,0,0,0,0,1,1,1
181705,0,0,0,0,0,1,1,1
194817,0,0,0,0,0,1,1,5
170465,0,0,0,0,0,1,1,2
172339,0,0,0,0,0,1,1,1
183577,0,0,0,0,0,1,1,1
194817,0,0,0,0,0,1,1,8
168592,0,0,0,0,0,1,1,7
166719,0,0,0,0,0,1,1,4
183577,0,0,0,0,0,1,1,2
172339,0,0,0,0,0,1,1,7
115651,1,0,0,0,0,0,1,1
122015,1,0,0,0,0,0,1,1
112467,1,0,0,0,0,0,1,7
102920,1,0,0,0,0,0,1,7
112467,1,0,0,0,0,0,1,1
107161,1,0,0,0,0,0,1,2
111407,1,0,0,0,0,0,1,1
105038,1,0,0,0,0,0,1,4
116711,1,0,0,0,0,0,1,0
94432,1,0,0,0,0,0,1,7
109286,1,0,0,0,0,0,1,0
