prf,pop,age,zipx,zipy,tob
1,67536,0,0,0,0
2,24795,1,0,0,0
3,64269,2,0,0,0
4,30646,3,0,0,0
5,30573,4,0,0,0
6,1877,1,0,0,1
7,10311,2,0,0,1
8,5413,3,0,0,1
9,5485,4,0,0,1
10,62025,0,71,-50,0
11,22616,1,71,-50,0
12,59093,2,71,-50,0
13,28085,3,71,-50,0
14,28089,4,71,-50,0
15,1680,1,71,-50,1
16,9749,2,71,-50,1
17,4981,3,71,-50,1
18,5036,4,71,-50,1
19,38621,0,-80,99,0
20,13913,1,-80,99,0
21,36688,2,-80,99,0
22,17618,3,-80,99,0
23,17426,4,-80,99,0
24,1074,1,-80,99,1
25,6025,2,-80,99,1
26,3055,3,-80,99,1
27,3160,4,-80,99,1
28,9596,0,-82,34,0
29,3459,1,-82,34,0
30,9015,2,-82,34,0
31,4220,3,-82,34,0
32,4291,4,-82,34,0
33,295,1,-82,34,1
34,1386,2,-82,34,1
35,730,3,-82,34,1
36,787,4,-82,34,1
37,22388,0,17,71,0
38,8065,1,17,71,0
39,21383,2,17,71,0
40,10165,3,17,71,0
41,10149,4,17,71,0
42,633,1,17,71,1
43,3401,2,17,71,1
44,1794,3,17,71,1
45,1796,4,17,71,1
46,20413,0,-72,-65,0
47,7378,1,-72,-65,0
48,19190,2,-72,-65,0
49,9157,3,-72,-65,0
50,9132,4,-72,-65,0
51,546,1,-72,-65,1
52,3128,2,-72,-65,1
53,1635,3,-72,-65,1
54,1654,4,-72,-65,1
55,19714,0,15,-63,0
56,7180,1,15,-63,0
57,18629,2,15,-63,0
58,8935,3,15,-63,0
59,8809,4,15,-63,0
60,463,1,15,-63,1
61,3108,2,15,-63,1
62,1623,3,15,-63,1
63,1628,4,15,-63,1
64,26679,0,-13,120,0
65,9929,1,-13,120,0
66,25664,2,-13,120,0
67,12357,3,-13,120,0
68,12323,4,-13,120,0
69,749,1,-13,120,1
70,4158,2,-13,120,1
71,2096,3,-13,120,1
72,2089,4,-13,120,1
73,13546,0,56,1,0
74,4968,1,56,1,0
75,12718,2,56,1,0
76,6078,3,56,1,0
77,6280,4,56,1,0
78,391,1,56,1,1
79,2051,2,56,1,1
80,1145,3,56,1,1
81,1065,4,56,1,1
