population,priceout
50522,6269
18499,6074
48392,8049
23192,10928
22908,15316
1335,8611
7915,11573
4053,15892
4044,22475
22416,6251
8183,6168
21155,8230
10117,11094
10171,15183
626,8752
3407,11845
1791,16141
1783,22275
31231,6194
11301,6112
29572,8192
14161,11009
14094,15422
850,8668
4799,11789
2472,16014
2504,22634
22949,6233
8292,6103
21871,8155
10335,11069
10134,15290
609,8654
3582,11733
1860,16104
1823,22436
13065,6167
4881,6095
12560,8150
6040,11072
5891,15301
338,8642
2122,11726
1121,16109
1034,22451
