population,priceout
67536,6140
24795,6067
64269,8106
30646,11003
30573,15252
1877,8600
10311,11659
5413,16005
5485,22378
62025,6224
22616,6105
59093,8039
28085,10922
28089,15300
1680,8658
9749,11558
4981,15884
5036,22451
38621,6165
13913,6017
36688,8050
17618,10985
17426,15387
1074,8525
6025,11576
3055,15977
3160,22580
9596,6181
3459,6065
9015,8111
4220,11026
4291,15446
295,8597
1386,11667
730,16040
787,22670
22388,6136
8065,6068
21383,8117
10165,11019
10149,15435
633,8602
3401,11676
1794,16028
1796,22653
20413,6237
7378,6151
19190,7930
9157,10768
9132,15085
546,8727
3128,11395
1635,15652
1654,22127
19714,6138
7180,6069
18629,7945
8935,10922
8809,15300
463,8603
3108,11417
1623,15884
1628,22451
26679,6188
9929,6068
25664,8106
12357,11015
12323,15437
749,8602
4158,11660
2096,16023
2089,22656
13546,6138
4968,6062
12718,8106
6078,10922
6280,15300
391,8593
2051,11659
1145,15884
1065,22451
