population,priceout
63112,6211
23251,6158
59800,8205
28714,11153
28742,15617
1615,8738
9834,11808
5083,16230
5080,22925
57775,6248
21345,6165
55419,8215
26671,11140
26413,15693
1641,8748
9011,11823
4600,16210
4659,23040
35767,6250
13242,6045
34311,8074
16255,10983
16202,15391
1033,8568
5475,11611
2920,15975
2958,22587
8915,6206
3235,6130
8540,8079
4048,11015
4035,15422
249,8696
1349,11619
706,16022
714,22634
20712,6215
7521,6131
19804,8052
9516,10952
9456,15348
562,8696
3346,11578
1699,15928
1689,22522
18741,6277
7021,6128
18125,8163
8737,11099
8535,15542
528,8693
2812,11744
1559,16149
1529,22813
18321,6200
6532,6159
17586,8078
8393,10956
8211,15343
504,8738
2896,11618
1435,15934
1511,22515
