prf,pop,age,zipx,zipy,tob
1,84669,0,0,0,0
2,30898,1,0,0,0
3,80818,2,0,0,0
4,38796,3,0,0,0
5,38680,4,0,0,0
6,2326,1,0,0,1
7,13035,2,0,0,1
8,6863,3,0,0,1
9,6881,4,0,0,1
10,45750,0,79,39,0
11,16871,1,79,39,0
12,43337,2,79,39,0
13,20741,3,79,39,0
14,20770,4,79,39,0
15,1270,1,79,39,1
16,7159,2,79,39,1
17,3730,3,79,39,1
18,3657,4,79,39,1
19,21148,0,-26,-43,0
20,7772,1,-26,-43,0
21,20168,2,-26,-43,0
22,9649,3,-26,-43,0
23,9368,4,-26,-43,0
24,565,1,-26,-43,1
25,3335,2,-26,-43,1
26,1745,3,-26,-43,1
27,1692,4,-26,-43,1
28,23439,0,-90,-35,0
29,8689,1,-90,-35,0
30,22593,2,-90,-35,0
31,10779,3,-90,-35,0
32,10750,4,-90,-35,0
33,626,1,-90,-35,1
34,3645,2,-90,-35,1
35,1853,3,-90,-35,1
36,1981,4,-90,-35,1
37,38870,0,66,-15,0
38,13966,1,66,-15,0
39,36938,2,66,-15,0
40,17798,3,66,-15,0
41,17802,4,66,-15,0
42,1066,1,66,-15,1
43,5953,2,66,-15,1
44,3163,3,66,-15,1
45,3212,4,66,-15,1
46,15121,0,-28,82,0
47,5474,1,-28,82,0
48,14435,2,-28,82,0
49,6994,3,-28,82,0
50,6931,4,-28,82,0
51,444,1,-28,82,1
52,2374,2,-28,82,1
53,1237,3,-28,82,1
54,1276,4,-28,82,1
55,25073,0,45,-77,0
56,9266,1,45,-77,0
57,24072,2,45,-77,0
58,11635,3,45,-77,0
59,11498,4,45,-77,0
60,688,1,45,-77,1
61,3842,2,45,-77,1
62,2055,3,45,-77,1
63,1997,4,45,-77,1
64,15992,0,7,126,0
65,5907,1,7,126,0
66,15581,2,7,126,0
67,7310,3,7,126,0
68,7230,4,7,126,0
69,455,1,7,126,1
70,2540,2,7,126,1
71,1295,3,7,126,1
72,1283,4,7,126,1
73,9326,0,-87,144,0
74,3355,1,-87,144,0
75,8796,2,-87,144,0
76,4288,3,-87,144,0
77,4225,4,-87,144,0
78,259,1,-87,144,1
79,1472,2,-87,144,1
80,734,3,-87,144,1
81,724,4,-87,144,1
