population,priceout
47186,6108
17349,6070
44905,8129
21682,10981
21715,15378
1295,8605
7332,11694
3745,15972
3816,22568
43385,6089
15930,6013
41521,8062
19673,10892
19899,15201
1275,8519
6681,11593
3589,15839
3437,22302
27100,6118
9709,6037
25596,8077
12200,10907
12512,15274
694,8556
4168,11616
2146,15861
2180,22412
6583,6149
2324,6037
6211,8077
3083,10927
2972,15303
193,8556
993,11616
535,15890
507,22455
15566,6147
5706,6059
15025,8125
7134,10974
7068,15367
430,8588
2442,11687
1250,15961
1258,22550
