prf,pop,age,zipx,zipy,tob,zip
1,63831,0,0,0,0,0
2,23488,1,0,0,0,0
3,60501,2,0,0,0,0
4,29060,3,0,0,0,0
5,29212,4,0,0,0,0
6,1635,1,0,0,1,0
7,9981,2,0,0,1,0
8,5102,3,0,0,1,0
9,5165,4,0,0,1,0
10,58584,0,71,-50,0,1
11,21636,1,71,-50,0,1
12,55834,2,71,-50,0,1
13,26914,3,71,-50,0,1
14,26735,4,71,-50,0,1
15,1628,1,71,-50,1,1
16,9040,2,71,-50,1,1
17,4674,3,71,-50,1,1
18,4624,4,71,-50,1,1
19,36201,0,-80,99,0,2
20,13275,1,-80,99,0,2
21,34689,2,-80,99,0,2
22,16488,3,-80,99,0,2
23,16264,4,-80,99,0,2
24,1017,1,-80,99,1,2
25,5565,2,-80,99,1,2
26,2952,3,-80,99,1,2
27,2979,4,-80,99,1,2
28,8932,0,-82,34,0,3
29,3180,1,-82,34,0,3
30,8701,2,-82,34,0,3
31,4064,3,-82,34,0,3
32,4048,4,-82,34,0,3
33,283,1,-82,34,1,3
34,1286,2,-82,34,1,3
35,721,3,-82,34,1,3
36,767,4,-82,34,1,3
37,20968,0,17,71,0,4
38,7798,1,17,71,0,4
39,20136,2,17,71,0,4
40,9577,3,17,71,0,4
41,9623,4,17,71,0,4
42,572,1,17,71,1,4
43,3334,2,17,71,1,4
44,1708,3,17,71,1,4
45,1732,4,17,71,1,4
46,19086,0,-72,-65,0,5
47,6921,1,-72,-65,0,5
48,18121,2,-72,-65,0,5
49,8776,3,-72,-65,0,5
50,8719,4,-72,-65,0,5
51,535,1,-72,-65,1,5
52,3010,2,-72,-65,1,5
53,1570,3,-72,-65,1,5
54,1561,4,-72,-65,1,5
55,18406,0,15,-63,0,6
56,6887,1,15,-63,0,6
57,17715,2,15,-63,0,6
58,8438,3,15,-63,0,6
59,8340,4,15,-63,0,6
60,513,1,15,-63,1,6
61,2801,2,15,-63,1,6
62,1476,3,15,-63,1,6
63,1449,4,15,-63,1,6
64,25497,0,-13,120,0,7
65,9161,1,-13,120,0,7
66,24433,2,-13,120,0,7
67,11785,3,-13,120,0,7
68,11433,4,-13,120,0,7
69,702,1,-13,120,1,7
70,4031,2,-13,120,1,7
71,2041,3,-13,120,1,7
72,2089,4,-13,120,1,7
