prf,pop,age,zipx,zipy,tob
1,40299,0,0,0,0
2,14625,1,0,0,0
3,38941,2,0,0,0
4,18446,3,0,0,0
5,18297,4,0,0,0
6,1137,1,0,0,1
7,6308,2,0,0,1
8,3300,3,0,0,1
9,3195,4,0,0,1
10,22157,0,79,39,0
11,8102,1,79,39,0
12,20916,2,79,39,0
13,9905,3,79,39,0
14,9991,4,79,39,0
15,626,1,79,39,1
16,3407,2,79,39,1
17,1746,3,79,39,1
18,1701,4,79,39,1
19,10335,0,-26,-43,0
20,3731,1,-26,-43,0
21,9477,2,-26,-43,0
22,4591,3,-26,-43,0
23,4588,4,-26,-43,0
24,281,1,-26,-43,1
25,1510,2,-26,-43,1
26,836,3,-26,-43,1
27,853,4,-26,-43,1
28,11498,0,-90,-35,0
29,4138,1,-90,-35,0
30,10850,2,-90,-35,0
31,5145,3,-90,-35,0
32,5236,4,-90,-35,0
33,317,1,-90,-35,1
34,1744,2,-90,-35,1
35,884,3,-90,-35,1
36,887,4,-90,-35,1
