population,priceout
53307,6116
19560,6063
50464,8087
24404,10927
24533,15280
1465,8595
8425,11630
4268,15891
4286,22420
23898,6116
8483,6063
22245,8087
10760,10927
10571,15280
643,8595
3649,11630
1899,15891
1845,22420
32377,6118
12007,6063
30974,8075
14955,10915
14886,15267
861,8595
5112,11613
2615,15872
2572,22401
23928,6144
8837,6061
22760,8087
10930,10927
10831,15280
643,8592
3811,11630
1883,15891
1895,22420
13854,6121
5019,6067
13154,8090
6386,10927
6291,15280
400,8600
2192,11635
1160,15891
1148,22420
20604,6119
7535,6063
19787,8087
9444,10927
9495,15262
554,8595
3135,11630
1658,15891
1602,22393
