prf,pop,age,zipx,zipy,tob
1,73452,0,0,0,0
2,26808,1,0,0,0
3,69607,2,0,0,0
4,33558,3,0,0,0
5,33394,4,0,0,0
6,2023,1,0,0,1
7,11274,2,0,0,1
8,5901,3,0,0,1
9,5939,4,0,0,1
10,41683,0,7,67,0
11,15332,1,7,67,0
12,39770,2,7,67,0
13,18790,3,7,67,0
14,19206,4,7,67,0
15,1113,1,7,67,1
16,6644,2,7,67,1
17,3273,3,7,67,1
18,3460,4,7,67,1
19,25909,0,22,-85,0
20,9493,1,22,-85,0
21,24454,2,22,-85,0
22,11702,3,22,-85,0
23,11711,4,22,-85,0
24,733,1,22,-85,1
25,4018,2,22,-85,1
26,2173,3,22,-85,1
27,2107,4,22,-85,1
28,36823,0,56,-24,0
29,13303,1,56,-24,0
30,35078,2,56,-24,0
31,16808,3,56,-24,0
32,16790,4,56,-24,0
33,964,1,56,-24,1
34,5804,2,56,-24,1
35,2950,3,56,-24,1
36,2952,4,56,-24,1
37,17513,0,59,54,0
38,6477,1,59,54,0
39,16855,2,59,54,0
40,8002,3,59,54,0
41,8074,4,59,54,0
42,451,1,59,54,1
43,2649,2,59,54,1
44,1422,3,59,54,1
45,1403,4,59,54,1
46,15990,0,-118,-17,0
47,5941,1,-118,-17,0
48,15426,2,-118,-17,0
49,7379,3,-118,-17,0
50,7610,4,-118,-17,0
51,450,1,-118,-17,1
52,2570,2,-118,-17,1
53,1287,3,-118,-17,1
54,1350,4,-118,-17,1
55,25807,0,-88,72,0
56,9199,1,-88,72,0
57,24394,2,-88,72,0
58,11840,3,-88,72,0
59,11753,4,-88,72,0
60,681,1,-88,72,1
61,4086,2,-88,72,1
62,2087,3,-88,72,1
63,1986,4,-88,72,1
64,14553,0,-55,-9,0
65,5416,1,-55,-9,0
66,13975,2,-55,-9,0
67,6703,3,-55,-9,0
68,6679,4,-55,-9,0
69,409,1,-55,-9,1
70,2234,2,-55,-9,1
71,1195,3,-55,-9,1
72,1155,4,-55,-9,1
