ann,ser1,ser2,ser3,ser4,ser5,ser6,num_ser,zip
5002155,0,0,1,0,0,0,1,2
5352307,0,0,1,0,0,0,1,3
5752474,0,0,1,0,0,0,1,0
4852092,0,0,1,0,0,0,1,0
5302284,0,0,1,0,0,0,1,4
6202676,0,0,1,0,0,0,1,0
6302717,0,0,1,0,0,0,1,1
5252266,0,0,1,0,0,0,1,2
5252266,0,0,1,0,0,0,1,2
155605,0,0,0,0,0,1,1,4
179977,0,0,0,0,0,1,1,1
187476,0,0,0,0,0,1,1,4
151855,0,0,0,0,0,1,1,3
194975,0,0,0,0,0,1,1,3
179977,0,0,0,0,0,1,1,0
191226,0,0,0,0,0,1,1,1
179977,0,0,0,0,0,1,1,1
148106,0,0,0,0,0,1,1,2
174353,0,0,0,0,0,1,1,3
172479,0,0,0,0,0,1,1,0
178102,0,0,0,0,0,1,1,1
200600,0,0,0,0,0,1,1,4
183726,0,0,0,0,0,1,1,3
185601,0,0,0,0,0,1,1,3
178102,0,0,0,0,0,1,1,2
196850,0,0,0,0,0,1,1,0
187476,0,0,0,0,0,1,1,3
193100,0,0,0,0,0,1,1,4
94432,1,0,0,0,0,0,1,1
102121,1,0,0,0,0,0,1,3
103219,1,0,0,0,0,0,1,0
97729,1,0,0,0,0,0,1,1
105410,1,0,0,0,0,0,1,0
110903,1,0,0,0,0,0,1,1
110903,1,0,0,0,0,0,1,0
119689,1,0,0,0,0,0,1,0
113102,1,0,0,0,0,0,1,2
112005,1,0,0,0,0,0,1,0
120786,1,0,0,0,0,0,1,0
119689,1,0,0,0,0,0,1,3
103219,1,0,0,0,0,0,1,1
119689,1,0,0,0,0,0,1,1
121888,1,0,0,0,0,0,1,0
110903,1,0,0,0,0,0,1,1
118593,1,0,0,0,0,0,1,2
110903,1,0,0,0,0,0,1,0
117493,1,0,0,0,0,0,1,0
115297,1,0,0,0,0,0,1,4
96632,1,0,0,0,0,0,1,0
120786,1,0,0,0,0,0,1,3
120786,1,0,0,0,0,0,1,0
112005,1,0,0,0,0,0,1,0
108705,1,0,0,0,0,0,1,2
106513,1,0,0,0,0,0,1,2
128474,1,0,0,0,0,0,1,2
106513,1,0,0,0,0,0,1,1
106513,1,0,0,0,0,0,1,0
115297,1,0,0,0,0,0,1,0
119689,1,0,0,0,0,0,1,0
96632,1,0,0,0,0,0,1,0
117493,1,0,0,0,0,0,1,3
127375,1,0,0,0,0,0,1,2
107610,1,0,0,0,0,0,1,0
124081,1,0,0,0,0,0,1,0
114197,1,0,0,0,0,0,1,2
115297,1,0,0,0,0,0,1,0
121888,1,0,0,0,0,0,1,2
120786,1,0,0,0,0,0,1,0
112005,1,0,0,0,0,0,1,3
104314,1,0,0,0,0,0,1,2
109806,1,0,0,0,0,0,1,0
93336,1,0,0,0,0,0,1,2
106513,1,0,0,0,0,0,1,4
112005,1,0,0,0,0,0,1,1
108705,1,0,0,0,0,0,1,0
119689,1,0,0,0,0,0,1,0
106513,1,0,0,0,0,0,1,3
109806,1,0,0,0,0,0,1,2
126275,1,0,0,0,0,0,1,0
117493,1,0,0,0,0,0,1,0
103219,1,0,0,0,0,0,1,1
103219,1,0,0,0,0,0,1,0
110903,1,0,0,0,0,0,1,2
116393,1,0,0,0,0,0,1,0
125178,1,0,0,0,0,0,1,4
101021,1,0,0,0,0,0,1,3
114197,1,0,0,0,0,0,1,2
105410,1,0,0,0,0,0,1,0
12075981,1,1,1,1,1,1,6,2
12484244,1,1,1,1,1,1,6,0
10810054,1,1,1,1,1,1,6,1
9421276,0,0,1,1,1,1,4,2
9110785,0,0,1,1,1,1,4,4
9049578,0,0,1,1,1,1,4,0
11316436,0,1,1,1,1,1,5,4
8908654,1,0,1,1,1,1,5,2
8192033,0,0,1,1,1,1,4,1
11611252,1,1,1,1,1,1,6,2
8849679,1,0,1,1,1,1,5,0
833806,0,0,0,1,0,1,2,2
670374,0,0,0,1,0,1,2,2
759296,0,0,0,1,0,1,2,1
786006,0,0,0,1,0,1,2,2
740670,0,0,0,1,0,1,2,3
854892,0,0,0,1,0,1,2,0
757300,0,0,0,1,0,1,2,0
835679,0,0,0,1,0,1,2,0
736677,0,0,0,1,0,1,2,0
813766,0,0,0,1,0,1,2,0
866724,0,0,0,1,0,1,2,0
873640,0,0,0,1,0,1,2,0
792095,0,0,0,1,0,1,2,3
719340,0,0,0,1,0,1,2,2
827475,0,0,0,1,0,1,2,3
776633,0,0,0,1,0,1,2,1
719119,0,0,0,1,0,1,2,2
796551,0,0,0,1,0,1,2,2
782257,0,0,0,1,0,1,2,0
683498,0,0,0,1,0,1,2,2
855597,0,0,0,1,0,1,2,0
746757,0,0,0,1,0,1,2,1
783427,0,0,0,1,0,1,2,2
743713,0,0,0,1,0,1,2,0
786711,0,0,0,1,0,1,2,0
789636,0,0,0,1,0,1,2,2
723211,0,0,0,1,0,1,2,4
778627,0,0,0,1,0,1,2,4
799010,0,0,0,1,0,1,2,0
828885,0,0,0,1,0,1,2,1
742664,0,0,0,1,0,1,2,0
771714,0,0,0,1,0,1,2,3
784133,0,0,0,1,0,1,2,1
835094,0,0,0,1,0,1,2,0
764920,0,0,0,1,0,1,2,0
808264,0,0,0,1,0,1,2,1
831225,0,0,0,1,0,1,2,0
675293,0,0,0,1,0,1,2,3
862975,0,0,0,1,0,1,2,0
777217,0,0,0,1,0,1,2,1
817757,0,0,0,1,0,1,2,0
796551,0,0,0,1,0,1,2,0
790461,0,0,0,1,0,1,2,2
869304,0,0,0,1,0,1,2,4
766674,0,0,0,1,0,1,2,3
770424,0,0,0,1,0,1,2,4
879264,0,0,0,1,0,1,2,0
830761,0,0,0,1,0,1,2,2
772419,0,0,0,1,0,1,2,2
818807,0,0,0,1,0,1,2,0
810842,0,0,0,1,0,1,2,0
820801,0,0,0,1,0,1,2,3
806509,0,0,0,1,0,1,2,2
776752,0,0,0,1,0,1,2,3
812133,0,0,0,1,0,1,2,2
835799,0,0,0,1,0,1,2,0
838964,0,0,0,1,0,1,2,3
812133,0,0,0,1,0,1,2,0
689122,0,0,0,1,0,1,2,2
797719,0,0,0,1,0,1,2,2
817050,0,0,0,1,0,1,2,0
799010,0,0,0,1,0,1,2,1
902226,0,0,0,1,0,1,2,0
817050,0,0,0,1,0,1,2,2
749216,0,0,0,1,0,1,2,3
755546,0,0,0,1,0,1,2,0
840014,0,0,0,1,0,1,2,1
779797,0,0,0,1,0,1,2,0
716418,0,0,0,1,0,1,2,2
797839,0,0,0,1,0,1,2,2
832049,0,0,0,1,0,1,2,4
835679,0,0,0,1,0,1,2,0
782961,0,0,0,1,0,1,2,2
636284,0,0,0,1,0,1,2,0
832049,0,0,0,1,0,1,2,0
735749,0,0,0,1,0,1,2,2
840014,0,0,0,1,0,1,2,0
789051,0,0,0,1,0,1,2,3
751797,0,0,0,1,0,1,2,3
820801,0,0,0,1,0,1,2,0
858056,0,0,0,1,0,1,2,1
741958,0,0,0,1,0,1,2,3
759881,0,0,0,1,0,1,2,1
848682,0,0,0,1,0,1,2,0
776048,0,0,0,1,0,1,2,0
772883,0,0,0,1,0,1,2,3
803463,0,0,0,1,0,1,2,3
780967,0,0,0,1,0,1,2,1
833100,0,0,0,1,0,1,2,2
712668,0,0,0,1,0,1,2,3
720046,0,0,0,1,0,1,2,3
786006,0,0,0,1,0,1,2,3
659830,0,0,0,1,0,1,2,2
855012,0,0,0,1,0,1,2,2
