prf,pop,age,zipx,zipy,tob
1,40402,0,0,0,0
2,14837,1,0,0,0
3,38809,2,0,0,0
4,18436,3,0,0,0
5,18235,4,0,0,0
6,1049,1,0,0,1
7,6291,2,0,0,1
8,3252,3,0,0,1
9,3225,4,0,0,1
10,17884,0,19,-65,0
11,6580,1,19,-65,0
12,16858,2,19,-65,0
13,8104,3,19,-65,0
14,8181,4,19,-65,0
15,513,1,19,-65,1
16,2698,2,19,-65,1
17,1449,3,19,-65,1
18,1433,4,19,-65,1
19,25007,0,93,-72,0
20,9033,1,93,-72,0
21,23631,2,93,-72,0
22,11336,3,93,-72,0
23,11308,4,93,-72,0
24,680,1,93,-72,1
25,3856,2,93,-72,1
26,1982,3,93,-72,1
27,2002,4,93,-72,1
28,18350,0,68,-2,0
29,6744,1,68,-2,0
30,17455,2,68,-2,0
31,8263,3,68,-2,0
32,8057,4,68,-2,0
33,495,1,68,-2,1
34,2873,2,68,-2,1
35,1498,3,68,-2,1
36,1446,4,68,-2,1
37,10513,0,48,47,0
38,3903,1,48,47,0
39,10073,2,48,47,0
40,4794,3,48,47,0
41,4731,4,48,47,0
42,278,1,48,47,1
43,1702,2,48,47,1
44,921,3,48,47,1
45,833,4,48,47,1
