prf,pop,age,zipx,zipy,tob,zip
1,69225,0,0,0,0,0
2,25404,1,0,0,0,0
3,65533,2,0,0,0,0
4,31556,3,0,0,0,0
5,31461,4,0,0,0,0
6,1916,1,0,0,1,0
7,10668,2,0,0,1,0
8,5589,3,0,0,1,0
9,5608,4,0,0,1,0
10,39598,0,7,67,0,1
11,14447,1,7,67,0,1
12,37578,2,7,67,0,1
13,17774,3,7,67,0,1
14,18308,4,7,67,0,1
15,1038,1,7,67,1,1
16,6260,2,7,67,1,1
17,3070,3,7,67,1,1
18,3287,4,7,67,1,1
19,24305,0,22,-85,0,2
20,8711,1,22,-85,0,2
21,23153,2,22,-85,0,2
22,11155,3,22,-85,0,2
23,10936,4,22,-85,0,2
24,677,1,22,-85,1,2
25,3845,2,22,-85,1,2
26,2051,3,22,-85,1,2
27,1976,4,22,-85,1,2
28,34717,0,56,-24,0,3
29,12799,1,56,-24,0,3
30,33149,2,56,-24,0,3
31,15754,3,56,-24,0,3
32,15932,4,56,-24,0,3
33,915,1,56,-24,1,3
34,5354,2,56,-24,1,3
35,2789,3,56,-24,1,3
36,2745,4,56,-24,1,3
37,16712,0,59,54,0,4
38,6156,1,59,54,0,4
39,15853,2,59,54,0,4
40,7574,3,59,54,0,4
41,7735,4,59,54,0,4
42,436,1,59,54,1,4
43,2596,2,59,54,1,4
44,1363,3,59,54,1,4
45,1367,4,59,54,1,4
46,15138,0,-118,-17,0,5
47,5426,1,-118,-17,0,5
48,14533,2,-118,-17,0,5
49,6902,3,-118,-17,0,5
50,7026,4,-118,-17,0,5
51,401,1,-118,-17,1,5
52,2404,2,-118,-17,1,5
53,1248,3,-118,-17,1,5
54,1229,4,-118,-17,1,5
55,24147,0,-88,72,0,6
56,8853,1,-88,72,0,6
57,23013,2,-88,72,0,6
58,11192,3,-88,72,0,6
59,11131,4,-88,72,0,6
60,667,1,-88,72,1,6
61,3786,2,-88,72,1,6
62,1962,3,-88,72,1,6
63,1867,4,-88,72,1,6
