prf,pop,age,zipx,zipy,tob
1,78356,0,0,0,0
2,28684,1,0,0,0
3,75080,2,0,0,0
4,35588,3,0,0,0
5,35740,4,0,0,0
6,2057,1,0,0,1
7,12307,2,0,0,1
8,6377,3,0,0,1
9,6237,4,0,0,1
10,42330,0,79,39,0
11,15489,1,79,39,0
12,40741,2,79,39,0
13,19321,3,79,39,0
14,19273,4,79,39,0
15,1158,1,79,39,1
16,6672,2,79,39,1
17,3498,3,79,39,1
18,3488,4,79,39,1
19,19580,0,-26,-43,0
20,7113,1,-26,-43,0
21,19082,2,-26,-43,0
22,8802,3,-26,-43,0
23,9039,4,-26,-43,0
24,552,1,-26,-43,1
25,3068,2,-26,-43,1
26,1589,3,-26,-43,1
27,1585,4,-26,-43,1
28,21848,0,-90,-35,0
29,8039,1,-90,-35,0
30,21216,2,-90,-35,0
31,9906,3,-90,-35,0
32,10039,4,-90,-35,0
33,606,1,-90,-35,1
34,3386,2,-90,-35,1
35,1789,3,-90,-35,1
36,1797,4,-90,-35,1
37,36308,0,66,-15,0
38,13319,1,66,-15,0
39,34443,2,66,-15,0
40,16575,3,66,-15,0
41,16607,4,66,-15,0
42,976,1,66,-15,1
43,5590,2,66,-15,1
44,2963,3,66,-15,1
45,2988,4,66,-15,1
46,14414,0,-28,82,0
47,5224,1,-28,82,0
48,13471,2,-28,82,0
49,6474,3,-28,82,0
50,6537,4,-28,82,0
51,411,1,-28,82,1
52,2178,2,-28,82,1
53,1165,3,-28,82,1
54,1115,4,-28,82,1
55,23441,0,45,-77,0
56,8473,1,45,-77,0
57,22695,2,45,-77,0
58,10919,3,45,-77,0
59,10872,4,45,-77,0
60,669,1,45,-77,1
61,3648,2,45,-77,1
62,1905,3,45,-77,1
63,1874,4,45,-77,1
64,14835,0,7,126,0
65,5485,1,7,126,0
66,14316,2,7,126,0
67,6825,3,7,126,0
68,6775,4,7,126,0
69,399,1,7,126,1
70,2330,2,7,126,1
71,1190,3,7,126,1
72,1159,4,7,126,1
