prf,pop,age,zipx,zipy,tob
1,51403,0,0,0,0
2,18987,1,0,0,0
3,48805,2,0,0,0
4,23405,3,0,0,0
5,23527,4,0,0,0
6,1316,1,0,0,1
7,8053,2,0,0,1
8,4182,3,0,0,1
9,4147,4,0,0,1
10,47163,0,71,-50,0
11,17579,1,71,-50,0
12,45228,2,71,-50,0
13,21635,3,71,-50,0
14,21437,4,71,-50,0
15,1358,1,71,-50,1
16,7322,2,71,-50,1
17,3768,3,71,-50,1
18,3810,4,71,-50,1
19,29163,0,-80,99,0
20,10768,1,-80,99,0
21,28093,2,-80,99,0
22,13334,3,-80,99,0
23,13377,4,-80,99,0
24,812,1,-80,99,1
25,4526,2,-80,99,1
26,2366,3,-80,99,1
27,2388,4,-80,99,1
28,7111,0,-82,34,0
29,2630,1,-82,34,0
30,6894,2,-82,34,0
31,3273,3,-82,34,0
32,3302,4,-82,34,0
33,210,1,-82,34,1
34,1158,2,-82,34,1
35,597,3,-82,34,1
36,580,4,-82,34,1
37,16921,0,17,71,0
38,6290,1,17,71,0
39,16429,2,17,71,0
40,7852,3,17,71,0
41,7648,4,17,71,0
42,458,1,17,71,1
43,2590,2,17,71,1
44,1389,3,17,71,1
45,1350,4,17,71,1
46,15483,0,-72,-65,0
47,5572,1,-72,-65,0
48,14854,2,-72,-65,0
49,7178,3,-72,-65,0
50,6935,4,-72,-65,0
51,440,1,-72,-65,1
52,2418,2,-72,-65,1
53,1223,3,-72,-65,1
54,1263,4,-72,-65,1
