prf,pop,age,zipx,zipy,tob
1,33413,0,0,0,0
2,12227,1,0,0,0
3,31987,2,0,0,0
4,15436,3,0,0,0
5,15176,4,0,0,0
6,894,1,0,0,1
7,5238,2,0,0,1
8,2714,3,0,0,1
9,2714,4,0,0,1
10,14709,0,19,-65,0
11,5506,1,19,-65,0
12,14128,2,19,-65,0
13,6785,3,19,-65,0
14,6921,4,19,-65,0
15,412,1,19,-65,1
16,2236,2,19,-65,1
17,1173,3,19,-65,1
18,1190,4,19,-65,1
19,20787,0,93,-72,0
20,7582,1,93,-72,0
21,19489,2,93,-72,0
22,9083,3,93,-72,0
23,9323,4,93,-72,0
24,564,1,93,-72,1
25,3189,2,93,-72,1
26,1643,3,93,-72,1
27,1617,4,93,-72,1
28,15159,0,68,-2,0
29,5547,1,68,-2,0
30,14275,2,68,-2,0
31,6916,3,68,-2,0
32,6730,4,68,-2,0
33,414,1,68,-2,1
34,2382,2,68,-2,1
35,1278,3,68,-2,1
36,1163,4,68,-2,1
