prf,pop,age,zipx,zipy,tob
1,31014,0,0,0,0
2,11342,1,0,0,0
3,29788,2,0,0,0
4,14248,3,0,0,0
5,14169,4,0,0,0
6,814,1,0,0,1
7,4927,2,0,0,1
8,2570,3,0,0,1
9,2513,4,0,0,1
10,17037,0,79,39,0
11,6098,1,79,39,0
12,16293,2,79,39,0
13,7641,3,79,39,0
14,7748,4,79,39,0
15,465,1,79,39,1
16,2603,2,79,39,1
17,1386,3,79,39,1
18,1387,4,79,39,1
19,7778,0,-26,-43,0
20,2821,1,-26,-43,0
21,7586,2,-26,-43,0
22,3567,3,-26,-43,0
23,3605,4,-26,-43,0
24,212,1,-26,-43,1
25,1187,2,-26,-43,1
26,629,3,-26,-43,1
27,572,4,-26,-43,1
