prf,pop,age,zipx,zipy,tob,zip
1,31014,0,0,0,0,0
2,11342,1,0,0,0,0
3,29788,2,0,0,0,0
4,14248,3,0,0,0,0
5,14169,4,0,0,0,0
6,814,1,0,0,1,0
7,4927,2,0,0,1,0
8,2570,3,0,0,1,0
9,2513,4,0,0,1,0
10,17037,0,79,39,0,1
11,6098,1,79,39,0,1
12,16293,2,79,39,0,1
13,7641,3,79,39,0,1
14,7748,4,79,39,0,1
15,465,1,79,39,1,1
16,2603,2,79,39,1,1
17,1386,3,79,39,1,1
18,1387,4,79,39,1,1
19,7778,0,-26,-43,0,2
20,2821,1,-26,-43,0,2
21,7586,2,-26,-43,0,2
22,3567,3,-26,-43,0,2
23,3605,4,-26,-43,0,2
24,212,1,-26,-43,1,2
25,1187,2,-26,-43,1,2
26,629,3,-26,-43,1,2
27,572,4,-26,-43,1,2
