population,priceout
58860,6029
21634,5999
56180,8033
27069,10924
26751,15319
1644,8499
9130,11550
4684,15887
4785,22478
33121,6041
11970,5980
31664,8027
15004,10933
15032,15333
974,8471
5039,11541
2619,15900
2658,22499
28366,6271
10148,5991
27176,8073
12853,10972
12877,15376
795,8487
4366,11610
2319,15959
2305,22564
22863,6245
8390,5995
21678,8079
10470,10981
10601,15395
652,8493
3615,11619
1898,15972
1943,22592
17292,6251
6279,5997
16486,8043
7797,10972
7899,15382
458,8496
2652,11564
1390,15959
1355,22573
13989,6200
5249,6005
13386,8033
6465,10925
6489,15321
446,8507
2171,11550
1114,15888
1106,22482
21167,6206
7736,6142
20191,8223
9822,11172
9646,15667
603,8714
3204,11835
1711,16258
1764,23000
