prf,pop,age,zipx,zipy,tob
1,58230,0,0,0,0
2,21174,1,0,0,0
3,55698,2,0,0,0
4,26711,3,0,0,0
5,26478,4,0,0,0
6,1544,1,0,0,1
7,9014,2,0,0,1
8,4703,3,0,0,1
9,4712,4,0,0,1
10,33264,0,7,67,0
11,12111,1,7,67,0
12,31565,2,7,67,0
13,15026,3,7,67,0
14,15001,4,7,67,0
15,920,1,7,67,1
16,5087,2,7,67,1
17,2722,3,7,67,1
18,2666,4,7,67,1
19,20260,0,22,-85,0
20,7574,1,22,-85,0
21,19396,2,22,-85,0
22,9128,3,22,-85,0
23,9187,4,22,-85,0
24,555,1,22,-85,1
25,3251,2,22,-85,1
26,1577,3,22,-85,1
27,1637,4,22,-85,1
28,29214,0,56,-24,0
29,10733,1,56,-24,0
30,27890,2,56,-24,0
31,13114,3,56,-24,0
32,13343,4,56,-24,0
33,760,1,56,-24,1
34,4656,2,56,-24,1
35,2279,3,56,-24,1
36,2317,4,56,-24,1
37,14111,0,59,54,0
38,5379,1,59,54,0
39,13343,2,59,54,0
40,6450,3,59,54,0
41,6509,4,59,54,0
42,377,1,59,54,1
43,2148,2,59,54,1
44,1086,3,59,54,1
45,1083,4,59,54,1
46,12798,0,-118,-17,0
47,4793,1,-118,-17,0
48,12287,2,-118,-17,0
49,5870,3,-118,-17,0
50,5877,4,-118,-17,0
51,350,1,-118,-17,1
52,2013,2,-118,-17,1
53,963,3,-118,-17,1
54,1066,4,-118,-17,1
