population,priceout
41895,6168
15375,5959
40214,7971
19211,10797
19181,15029
1089,8439
6505,11457
3406,15696
3415,22044
24095,6255
8726,5938
22782,7930
10755,10742
10791,14990
647,8408
3726,11395
1925,15614
1945,21985
14674,6142
5435,6088
14026,8079
6590,10893
6638,15262
388,8633
2329,11618
1150,15839
1140,22394
21232,6256
7918,6154
20121,7949
9464,10706
9657,14998
578,8731
3342,11423
1677,15559
1659,21997
10143,6259
3738,5995
9730,7912
4619,10729
4654,15022
264,8492
1541,11368
782,15593
828,22033
