prf,pop,age,zipx,zipy,tob
1,78710,0,0,0,0
2,28705,1,0,0,0
3,74420,2,0,0,0
4,35889,3,0,0,0
5,36107,4,0,0,0
6,2165,1,0,0,1
7,12102,2,0,0,1
8,6402,3,0,0,1
9,6296,4,0,0,1
10,43680,0,7,-54,0
11,16098,1,7,-54,0
12,42184,2,7,-54,0
13,19986,3,7,-54,0
14,20012,4,7,-54,0
15,1180,1,7,-54,1
16,6725,2,7,-54,1
17,3508,3,7,-54,1
18,3506,4,7,-54,1
19,37908,0,75,34,0
20,13890,1,75,34,0
21,35774,2,75,34,0
22,17202,3,75,34,0
23,17081,4,75,34,0
24,1034,1,75,34,1
25,5740,2,75,34,1
26,2950,3,75,34,1
27,3127,4,75,34,1
28,30423,0,-7,71,0
29,11339,1,-7,71,0
30,29307,2,-7,71,0
31,14061,3,-7,71,0
32,13636,4,-7,71,0
33,851,1,-7,71,1
34,4805,2,-7,71,1
35,2560,3,-7,71,1
36,2460,4,-7,71,1
37,22953,0,-34,-99,0
38,8439,1,-34,-99,0
39,21685,2,-34,-99,0
40,10496,3,-34,-99,0
41,10445,4,-34,-99,0
42,598,1,-34,-99,1
43,3578,2,-34,-99,1
44,1884,3,-34,-99,1
45,1832,4,-34,-99,1
46,19034,0,-96,28,0
47,6974,1,-96,28,0
48,17765,2,-96,28,0
49,8529,3,-96,28,0
50,8627,4,-96,28,0
51,498,1,-96,28,1
52,2947,2,-96,28,1
53,1523,3,-96,28,1
54,1486,4,-96,28,1
55,28143,0,-59,68,0
56,10282,1,-59,68,0
57,27199,2,-59,68,0
58,12884,3,-59,68,0
59,12810,4,-59,68,0
60,763,1,-59,68,1
61,4394,2,-59,68,1
62,2274,3,-59,68,1
63,2266,4,-59,68,1
64,10987,0,-44,-26,0
65,4105,1,-44,-26,0
66,10470,2,-44,-26,0
67,5079,3,-44,-26,0
68,5000,4,-44,-26,0
69,301,1,-44,-26,1
70,1730,2,-44,-26,1
71,910,3,-44,-26,1
72,864,4,-44,-26,1
73,7968,0,-21,132,0
74,2960,1,-21,132,0
75,7550,2,-21,132,0
76,3585,3,-21,132,0
77,3580,4,-21,132,0
78,225,1,-21,132,1
79,1214,2,-21,132,1
80,674,3,-21,132,1
81,667,4,-21,132,1
