prf,pop,age,zipx,zipy,tob,zip
1,78710,0,0,0,0,0
2,28705,1,0,0,0,0
3,74420,2,0,0,0,0
4,35889,3,0,0,0,0
5,36107,4,0,0,0,0
6,2165,1,0,0,1,0
7,12102,2,0,0,1,0
8,6402,3,0,0,1,0
9,6296,4,0,0,1,0
10,43680,0,7,-54,0,1
11,16098,1,7,-54,0,1
12,42184,2,7,-54,0,1
13,19986,3,7,-54,0,1
14,20012,4,7,-54,0,1
15,1180,1,7,-54,1,1
16,6725,2,7,-54,1,1
17,3508,3,7,-54,1,1
18,3506,4,7,-54,1,1
19,37908,0,75,34,0,2
20,13890,1,75,34,0,2
21,35774,2,75,34,0,2
22,17202,3,75,34,0,2
23,17081,4,75,34,0,2
24,1034,1,75,34,1,2
25,5740,2,75,34,1,2
26,2950,3,75,34,1,2
27,3127,4,75,34,1,2
28,30423,0,-7,71,0,3
29,11339,1,-7,71,0,3
30,29307,2,-7,71,0,3
31,14061,3,-7,71,0,3
32,13636,4,-7,71,0,3
33,851,1,-7,71,1,3
34,4805,2,-7,71,1,3
35,2560,3,-7,71,1,3
36,2460,4,-7,71,1,3
37,22953,0,-34,-99,0,4
38,8439,1,-34,-99,0,4
39,21685,2,-34,-99,0,4
40,10496,3,-34,-99,0,4
41,10445,4,-34,-99,0,4
42,598,1,-34,-99,1,4
43,3578,2,-34,-99,1,4
44,1884,3,-34,-99,1,4
45,1832,4,-34,-99,1,4
46,19034,0,-96,28,0,5
47,6974,1,-96,28,0,5
48,17765,2,-96,28,0,5
49,8529,3,-96,28,0,5
50,8627,4,-96,28,0,5
51,498,1,-96,28,1,5
52,2947,2,-96,28,1,5
53,1523,3,-96,28,1,5
54,1486,4,-96,28,1,5
55,28143,0,-59,68,0,6
56,10282,1,-59,68,0,6
57,27199,2,-59,68,0,6
58,12884,3,-59,68,0,6
59,12810,4,-59,68,0,6
60,763,1,-59,68,1,6
61,4394,2,-59,68,1,6
62,2274,3,-59,68,1,6
63,2266,4,-59,68,1,6
64,10987,0,-44,-26,0,7
65,4105,1,-44,-26,0,7
66,10470,2,-44,-26,0,7
67,5079,3,-44,-26,0,7
68,5000,4,-44,-26,0,7
69,301,1,-44,-26,1,7
70,1730,2,-44,-26,1,7
71,910,3,-44,-26,1,7
72,864,4,-44,-26,1,7
73,7968,0,-21,132,0,8
74,2960,1,-21,132,0,8
75,7550,2,-21,132,0,8
76,3585,3,-21,132,0,8
77,3580,4,-21,132,0,8
78,225,1,-21,132,1,8
79,1214,2,-21,132,1,8
80,674,3,-21,132,1,8
81,667,4,-21,132,1,8
