population,priceout
67210,6127
24748,6040
64142,8068
31054,10987
30498,15250
1867,8561
10462,11603
5350,15981
5451,22375
37755,6141
13690,6045
36234,8111
17230,11061
17221,15488
1116,8568
5799,11667
3002,16092
3034,22732
32428,6107
11641,6055
30933,8088
14729,11018
14798,15431
908,8583
4990,11632
2623,16027
2611,22646
26144,6079
9644,6040
24776,8068
11999,10963
12086,15360
756,8561
4130,11603
2190,15944
2226,22540
19767,6093
7214,6048
18705,8147
8875,11099
8991,15542
523,8572
3029,11720
1604,16149
1519,22813
15999,6021
6000,5992
15348,7982
7377,10945
7404,15325
506,8488
2485,11474
1294,15917
1259,22488
24120,6087
8921,6040
23093,8068
11179,10987
11008,15360
685,8561
3675,11603
1959,15981
1986,22540
