prf,pop,age,zipx,zipy,tob
1,74382,0,0,0,0
2,27231,1,0,0,0
3,71002,2,0,0,0
4,34033,3,0,0,0
5,34106,4,0,0,0
6,2020,1,0,0,1
7,11487,2,0,0,1
8,6051,3,0,0,1
9,6060,4,0,0,1
10,40164,0,79,39,0
11,14677,1,79,39,0
12,38311,2,79,39,0
13,18290,3,79,39,0
14,18102,4,79,39,0
15,1104,1,79,39,1
16,6278,2,79,39,1
17,3302,3,79,39,1
18,3253,4,79,39,1
19,18516,0,-26,-43,0
20,6903,1,-26,-43,0
21,17745,2,-26,-43,0
22,8486,3,-26,-43,0
23,8351,4,-26,-43,0
24,528,1,-26,-43,1
25,2932,2,-26,-43,1
26,1483,3,-26,-43,1
27,1485,4,-26,-43,1
28,20871,0,-90,-35,0
29,7522,1,-90,-35,0
30,19845,2,-90,-35,0
31,9590,3,-90,-35,0
32,9497,4,-90,-35,0
33,567,1,-90,-35,1
34,3170,2,-90,-35,1
35,1682,3,-90,-35,1
36,1676,4,-90,-35,1
37,34033,0,66,-15,0
38,12382,1,66,-15,0
39,32458,2,66,-15,0
40,15610,3,66,-15,0
41,15647,4,66,-15,0
42,952,1,66,-15,1
43,5271,2,66,-15,1
44,2769,3,66,-15,1
45,2895,4,66,-15,1
46,13118,0,-28,82,0
47,4939,1,-28,82,0
48,12646,2,-28,82,0
49,6116,3,-28,82,0
50,6101,4,-28,82,0
51,353,1,-28,82,1
52,2071,2,-28,82,1
53,1083,3,-28,82,1
54,1034,4,-28,82,1
55,22294,0,45,-77,0
56,8134,1,45,-77,0
57,21366,2,45,-77,0
58,10248,3,45,-77,0
59,10041,4,45,-77,0
60,646,1,45,-77,1
61,3528,2,45,-77,1
62,1771,3,45,-77,1
63,1792,4,45,-77,1
