prf,pop,age,zipx,zipy,tob,zip
1,74382,0,0,0,0,0
2,27231,1,0,0,0,0
3,71002,2,0,0,0,0
4,34033,3,0,0,0,0
5,34106,4,0,0,0,0
6,2020,1,0,0,1,0
7,11487,2,0,0,1,0
8,6051,3,0,0,1,0
9,6060,4,0,0,1,0
10,40164,0,79,39,0,1
11,14677,1,79,39,0,1
12,38311,2,79,39,0,1
13,18290,3,79,39,0,1
14,18102,4,79,39,0,1
15,1104,1,79,39,1,1
16,6278,2,79,39,1,1
17,3302,3,79,39,1,1
18,3253,4,79,39,1,1
19,18516,0,-26,-43,0,2
20,6903,1,-26,-43,0,2
21,17745,2,-26,-43,0,2
22,8486,3,-26,-43,0,2
23,8351,4,-26,-43,0,2
24,528,1,-26,-43,1,2
25,2932,2,-26,-43,1,2
26,1483,3,-26,-43,1,2
27,1485,4,-26,-43,1,2
28,20871,0,-90,-35,0,3
29,7522,1,-90,-35,0,3
30,19845,2,-90,-35,0,3
31,9590,3,-90,-35,0,3
32,9497,4,-90,-35,0,3
33,567,1,-90,-35,1,3
34,3170,2,-90,-35,1,3
35,1682,3,-90,-35,1,3
36,1676,4,-90,-35,1,3
37,34033,0,66,-15,0,4
38,12382,1,66,-15,0,4
39,32458,2,66,-15,0,4
40,15610,3,66,-15,0,4
41,15647,4,66,-15,0,4
42,952,1,66,-15,1,4
43,5271,2,66,-15,1,4
44,2769,3,66,-15,1,4
45,2895,4,66,-15,1,4
46,13118,0,-28,82,0,5
47,4939,1,-28,82,0,5
48,12646,2,-28,82,0,5
49,6116,3,-28,82,0,5
50,6101,4,-28,82,0,5
51,353,1,-28,82,1,5
52,2071,2,-28,82,1,5
53,1083,3,-28,82,1,5
54,1034,4,-28,82,1,5
55,22294,0,45,-77,0,6
56,8134,1,45,-77,0,6
57,21366,2,45,-77,0,6
58,10248,3,45,-77,0,6
59,10041,4,45,-77,0,6
60,646,1,45,-77,1,6
61,3528,2,45,-77,1,6
62,1771,3,45,-77,1,6
63,1792,4,45,-77,1,6
