population,priceout
37733,6219
13851,6190
35995,8185
17335,11064
17389,15360
1028,8785
5868,11778
2988,16096
3086,22540
34726,6207
12646,6144
33243,8205
15836,11084
15968,15499
981,8717
5325,11807
2857,16127
2743,22749
21684,6183
7757,6136
20360,8207
9719,10922
10023,15278
563,8704
3307,11811
1729,15883
1706,22417
5274,6172
1862,6117
4980,8174
2488,10994
2386,15381
155,8676
783,11762
431,15991
422,22572
12471,6218
4544,6124
12077,8199
5664,11083
5691,15505
339,8686
1962,11798
1007,16125
1018,22758
