population,priceout
72907,6155
26588,6074
68884,8123
33128,11035
33450,15463
2006,8611
11200,11684
5943,16053
5800,22695
40669,6151
15021,6074
39158,8123
18458,11027
18603,15455
1078,8611
6290,11684
3249,16041
3262,22683
34877,6167
12778,6113
33080,8187
15933,11128
15756,15595
970,8669
5342,11780
2774,16192
2866,22892
28253,6180
10440,6002
27044,8029
13023,10905
12711,15276
788,8503
4419,11543
2361,15858
2284,22414
21285,6157
7820,6065
20103,8115
9731,10854
9679,15212
534,8598
3317,11673
1776,15781
1703,22318
17588,6177
6365,6106
16674,8051
7851,10932
7915,15271
451,8659
2723,11576
1404,15898
1351,22406
26015,6065
9680,6002
24981,8038
11866,10979
11832,15386
710,8503
4116,11557
2111,15969
2080,22579
10367,6157
3861,6074
9789,8123
4669,11035
4664,15455
283,8611
1609,11684
868,16053
836,22683
