population,priceout
43698,6178
15958,6136
42217,8189
20150,11092
19914,15563
1277,8705
6766,11783
3589,16138
3476,22845
24012,6180
8837,6120
22941,8260
10862,11189
10936,15694
640,8681
3744,11890
1954,16284
1942,23041
11284,6247
4150,6165
10535,8178
5084,11072
5108,15532
323,8748
1773,11767
865,16109
860,22798
12363,6251
4474,6165
11812,8272
5658,11207
5631,15721
341,8748
1847,11908
1008,16311
951,23082
20704,6183
7491,6125
19363,8264
9267,11193
9272,15677
558,8687
3164,11896
1591,16290
1610,23016
