prf,pop,age,zipx,zipy,tob
1,58586,0,0,0,0
2,21646,1,0,0,0
3,55524,2,0,0,0
4,26879,3,0,0,0
5,26997,4,0,0,0
6,1626,1,0,0,1
7,9232,2,0,0,1
8,4703,3,0,0,1
9,4695,4,0,0,1
10,26104,0,19,-65,0
11,9315,1,19,-65,0
12,24472,2,19,-65,0
13,11761,3,19,-65,0
14,11729,4,19,-65,0
15,711,1,19,-65,1
16,4022,2,19,-65,1
17,2100,3,19,-65,1
18,2011,4,19,-65,1
19,35913,0,93,-72,0
20,13097,1,93,-72,0
21,34113,2,93,-72,0
22,16450,3,93,-72,0
23,16290,4,93,-72,0
24,974,1,93,-72,1
25,5671,2,93,-72,1
26,2877,3,93,-72,1
27,2836,4,93,-72,1
28,26364,0,68,-2,0
29,9672,1,68,-2,0
30,25247,2,68,-2,0
31,12135,3,68,-2,0
32,11969,4,68,-2,0
33,692,1,68,-2,1
34,4156,2,68,-2,1
35,2102,3,68,-2,1
36,2152,4,68,-2,1
37,15058,0,48,47,0
38,5563,1,48,47,0
39,14371,2,48,47,0
40,6933,3,48,47,0
41,6943,4,48,47,0
42,413,1,48,47,1
43,2434,2,48,47,1
44,1245,3,48,47,1
45,1220,4,48,47,1
46,22728,0,-88,59,0
47,8403,1,-88,59,0
48,21768,2,-88,59,0
49,10408,3,-88,59,0
50,10325,4,-88,59,0
51,623,1,-88,59,1
52,3431,2,-88,59,1
53,1828,3,-88,59,1
54,1768,4,-88,59,1
55,11151,0,19,-119,0
56,4021,1,19,-119,0
57,10548,2,19,-119,0
58,5089,3,19,-119,0
59,5097,4,19,-119,0
60,277,1,19,-119,1
61,1740,2,19,-119,1
62,879,3,19,-119,1
63,913,4,19,-119,1
