population,priceout
58230,6104
21174,6042
55698,8058
26711,10780
26478,15060
1544,8564
9014,11587
4703,15670
4712,22091
33264,6065
12111,6011
31565,8005
15026,10790
15001,15074
920,8517
5087,11507
2722,15685
2666,22111
20260,6108
7574,6046
19396,8062
9128,10865
9187,15182
555,8570
3251,11594
1577,15798
1637,22274
29214,6104
10733,6042
27890,8057
13114,10864
13343,15177
760,8563
4656,11586
2279,15797
2317,22265
14111,6099
5379,6042
13343,8020
6450,10790
6509,15077
377,8564
2148,11530
1086,15685
1083,22116
12798,6143
4793,6053
12287,8050
5870,10863
5877,15185
350,8580
2013,11575
963,15794
1066,22277
